site_id,field,value,lat,lon,note,edited
site-nogeo-c39134aa,city,Batam,,,research-identified 2026-09-18: https://docs.oracle.com/en-us/iaas/releasenotes/oci/new-region-batam.htm,2026-09-18T00:00:00Z
site-nogeo-5df56ed8,lat,1.434986,,,"research-identified 2026-09-18 (medium), skeptic-upheld: datacentermap's printed pin for the NTP1 building (Phase 1, NTP1-3) inside the Nusajaya Tech Park industrial estate, near its eastern edge;…. Page data (__NEXT_DATA__ project record): ""title"":[""DayOne Data Centers NTP1""], ""address_line1"":[""PTD 5224""], ""city"":[""Iskandar Puteri""], ""state"":[""JOH""], ""pos… | https://www.usgbc.org/projects/dayone-data-centers-ntp1",2026-09-18T00:00:00Z
site-nogeo-5df56ed8,lon,103.600087,,,"research-identified 2026-09-18 (medium), skeptic-upheld: datacentermap's printed pin for the NTP1 building (Phase 1, NTP1-3) inside the Nusajaya Tech Park industrial estate, near its eastern edge;…. Page data (__NEXT_DATA__ project record): ""title"":[""DayOne Data Centers NTP1""], ""address_line1"":[""PTD 5224""], ""city"":[""Iskandar Puteri""], ""state"":[""JOH""], ""pos… | https://www.usgbc.org/projects/dayone-data-centers-ntp1",2026-09-18T00:00:00Z
site-nogeo-5df56ed8,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-nogeo-5df56ed8,city,Iskandar Puteri,,,research-identified 2026-09-18: https://www.usgbc.org/projects/dayone-data-centers-ntp1,2026-09-18T00:00:00Z
site-nogeo-a6c3382d,lat,68.578662,,,"research-identified 2026-09-18 (high), skeptic-upheld: the OSM address node for Nordmoveien 301 on parcel gnr/bnr 10/742 at Skoglund, Kvanndal (west of E6, just west of Kvanndal transformer stat…. Nscale's AI data center at Kvandal in the Narvik region | https://www.nscale.com/press-releases/nordscale",2026-09-18T00:00:00Z
site-nogeo-a6c3382d,lon,17.591345,,,"research-identified 2026-09-18 (high), skeptic-upheld: the OSM address node for Nordmoveien 301 on parcel gnr/bnr 10/742 at Skoglund, Kvanndal (west of E6, just west of Kvanndal transformer stat…. Nscale's AI data center at Kvandal in the Narvik region | https://www.nscale.com/press-releases/nordscale",2026-09-18T00:00:00Z
site-nogeo-a6c3382d,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-nogeo-a6c3382d,address,"Nordmoveien 301, 8530 Bjerkvik, gnr/bnr 10/742",,,research-identified 2026-09-18: https://www.nscale.com/press-releases/nordscale,2026-09-18T00:00:00Z
site-nogeo-a6c3382d,city,Bjerkvik,,,research-identified 2026-09-18: https://www.nscale.com/press-releases/nordscale,2026-09-18T00:00:00Z
site-abc2d521ff,lat,37.934961,37.956549,-8.868964,"research-identified 2026-09-18 (high), skeptic-upheld: the built SIN01 data centre: the point is the developer's printed site coordinate and lies inside the OSM landuse polygon named ""Start Camp…. Site Coordinates: 37.934961, -8.812558 / c. 90 km south of Lisbon / 37.5 MW SIN01 | https://23712035.hs-sites.com/hubfs/SINES%20DC_1.2%20GW%20DC%20Campus_V2.pdf?hsCtaAttrib=194868835084",2026-09-18T00:00:00Z
site-abc2d521ff,lon,-8.812558,37.956549,-8.868964,"research-identified 2026-09-18 (high), skeptic-upheld: the built SIN01 data centre: the point is the developer's printed site coordinate and lies inside the OSM landuse polygon named ""Start Camp…. Site Coordinates: 37.934961, -8.812558 / c. 90 km south of Lisbon / 37.5 MW SIN01 | https://23712035.hs-sites.com/hubfs/SINES%20DC_1.2%20GW%20DC%20Campus_V2.pdf?hsCtaAttrib=194868835084",2026-09-18T00:00:00Z
site-abc2d521ff,geo_precision,exact,37.956549,-8.868964,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-abc2d521ff,city,Sines,37.956549,-8.868964,research-identified 2026-09-18: https://23712035.hs-sites.com/hubfs/SINES%20DC_1.2%20GW%20DC%20Campus_V2.pdf?hsCtaAttrib=194868835084,2026-09-18T00:00:00Z
site-65de06c201,lat,47.237710,47.234367,-119.853505,"research-identified 2026-09-18 (high), skeptic-upheld: centroid of the OpenStreetMap landuse polygon tagged ""Microsoft MWH Data Center"" (OSM way 700001774), inside the campus west of Road R NW a…. Microsoft MWH Data Center ... 1515 Port Industrial Parkway, Quincy, WA 98848; MWH Data Center (FKA: Oxford) located at Industrial Park #5, west of Road R NW at… | https://ecology.wa.gov/getattachment/f54bc6ff-cda4-49dc-bc9e-c536025ff69a/20190524MWHTSD19AQE031.pdf",2026-09-18T00:00:00Z
site-65de06c201,lon,-119.887980,47.234367,-119.853505,"research-identified 2026-09-18 (high), skeptic-upheld: centroid of the OpenStreetMap landuse polygon tagged ""Microsoft MWH Data Center"" (OSM way 700001774), inside the campus west of Road R NW a…. Microsoft MWH Data Center ... 1515 Port Industrial Parkway, Quincy, WA 98848; MWH Data Center (FKA: Oxford) located at Industrial Park #5, west of Road R NW at… | https://ecology.wa.gov/getattachment/f54bc6ff-cda4-49dc-bc9e-c536025ff69a/20190524MWHTSD19AQE031.pdf",2026-09-18T00:00:00Z
site-65de06c201,geo_precision,exact,47.234367,-119.853505,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-65de06c201,address,"1515 Port Industrial Way, Quincy, WA 98848",47.234367,-119.853505,research-identified 2026-09-18: https://ecology.wa.gov/getattachment/f54bc6ff-cda4-49dc-bc9e-c536025ff69a/20190524MWHTSD19AQE031.pdf,2026-09-18T00:00:00Z
site-65de06c201,city,Quincy,47.234367,-119.853505,research-identified 2026-09-18: https://ecology.wa.gov/getattachment/f54bc6ff-cda4-49dc-bc9e-c536025ff69a/20190524MWHTSD19AQE031.pdf,2026-09-18T00:00:00Z
site-nogeo-17c9d7d4,lat,32.598000,,,"research-identified 2026-09-18 (high), skeptic-upheld: centroid of the OpenStreetMap landuse polygon ""Amazon Canton Data Center"" (way 1459880367, tagged industrial=data_centre, ~379 acres), whic…. One site is located on the remaining 927 acres of the megasite in the center of the county, off Mississippi Highway 22 and Nissan Parkway in Canton. | https://www.constructionequipmentguide.com/several-top-regional-contractors-are-building-10b-twin-aws-data-centers-in-mississippi/65887",2026-09-18T00:00:00Z
site-nogeo-17c9d7d4,lon,-90.091900,,,"research-identified 2026-09-18 (high), skeptic-upheld: centroid of the OpenStreetMap landuse polygon ""Amazon Canton Data Center"" (way 1459880367, tagged industrial=data_centre, ~379 acres), whic…. One site is located on the remaining 927 acres of the megasite in the center of the county, off Mississippi Highway 22 and Nissan Parkway in Canton. | https://www.constructionequipmentguide.com/several-top-regional-contractors-are-building-10b-twin-aws-data-centers-in-mississippi/65887",2026-09-18T00:00:00Z
site-nogeo-17c9d7d4,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-nogeo-17c9d7d4,city,Canton,,,research-identified 2026-09-18: https://www.constructionequipmentguide.com/several-top-regional-contractors-are-building-10b-twin-aws-data-centers-in-mississippi/65887,2026-09-18T00:00:00Z
site-nogeo-e8f5c171,lat,32.396797,,,"research-identified 2026-09-18 (high), skeptic-upheld: The site coordinate printed on the TCEQ construction-stormwater authorization (TXR1541VR) for the ""Barber Lake Data Center Project"", 951 CR…. Site Name on Permit: BARBER LAKE DATA CENTER PROJECT Authorization Type: CONSTRUCTION ... Area Disturbed (in Acres) : 562 ... estimated project start date : 08… | https://www2.tceq.texas.gov/wq_dpa/index.cfm?fuseaction=home.permit_summary&lgl_ident_txt=TXR1541VR&lgl_id=31842178&pita_id=31842181&phys_id=31842180&princ_id=352587782022006&affil_role=2&reg_ent_id=254503022025239&permit_type_code=SWC&return_to=permit_list_by_rn&rn_number=RN112273891",2026-09-18T00:00:00Z
site-nogeo-e8f5c171,lon,-100.911867,,,"research-identified 2026-09-18 (high), skeptic-upheld: The site coordinate printed on the TCEQ construction-stormwater authorization (TXR1541VR) for the ""Barber Lake Data Center Project"", 951 CR…. Site Name on Permit: BARBER LAKE DATA CENTER PROJECT Authorization Type: CONSTRUCTION ... Area Disturbed (in Acres) : 562 ... estimated project start date : 08… | https://www2.tceq.texas.gov/wq_dpa/index.cfm?fuseaction=home.permit_summary&lgl_ident_txt=TXR1541VR&lgl_id=31842178&pita_id=31842181&phys_id=31842180&princ_id=352587782022006&affil_role=2&reg_ent_id=254503022025239&permit_type_code=SWC&return_to=permit_list_by_rn&rn_number=RN112273891",2026-09-18T00:00:00Z
site-nogeo-e8f5c171,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-nogeo-e8f5c171,address,"951 County Road 204, Colorado City, TX 79512",,,research-identified 2026-09-18: https://www2.tceq.texas.gov/wq_dpa/index.cfm?fuseaction=home.permit_summary&lgl_ident_txt=TXR1541VR&lgl_id=31842178&pita_id=31842181&phys_id=31842180&princ_id=352587782022006&affil_role=2&reg_ent_id=254503022025239&permit_type_code=SWC&return_to=permit_list_by_rn&rn_number=RN112273891,2026-09-18T00:00:00Z
site-nogeo-e8f5c171,city,Colorado City,,,research-identified 2026-09-18: https://www2.tceq.texas.gov/wq_dpa/index.cfm?fuseaction=home.permit_summary&lgl_ident_txt=TXR1541VR&lgl_id=31842178&pita_id=31842181&phys_id=31842180&princ_id=352587782022006&affil_role=2&reg_ent_id=254503022025239&permit_type_code=SWC&return_to=permit_list_by_rn&rn_number=RN112273891,2026-09-18T00:00:00Z
site-7850ecd7a4,lat,41.693524,41.705687,-86.509823,"research-identified 2026-09-18 (high), skeptic-upheld: The IDEM GSD-01 ""Geographic Coordinates"" printed in Amazon's air-permit modification application for the SBN100 north campus (31100 Edison …. Amazon Data Services, Inc. (""ADS"") obtained New Source Construction and Part 70 Operating Permit No. T141-47750-00642 ... for a data center facility at 55001 L… | https://drive.google.com/file/d/1BKiTFNUk2KDaUaiHG7fz0KlkNSBTHzbb/view?usp=sharing",2026-09-18T00:00:00Z
site-7850ecd7a4,lon,-86.461739,41.705687,-86.509823,"research-identified 2026-09-18 (high), skeptic-upheld: The IDEM GSD-01 ""Geographic Coordinates"" printed in Amazon's air-permit modification application for the SBN100 north campus (31100 Edison …. Amazon Data Services, Inc. (""ADS"") obtained New Source Construction and Part 70 Operating Permit No. T141-47750-00642 ... for a data center facility at 55001 L… | https://drive.google.com/file/d/1BKiTFNUk2KDaUaiHG7fz0KlkNSBTHzbb/view?usp=sharing",2026-09-18T00:00:00Z
site-7850ecd7a4,geo_precision,exact,41.705687,-86.509823,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-7850ecd7a4,city,New Carlisle,41.705687,-86.509823,research-identified 2026-09-18: https://drive.google.com/file/d/1BKiTFNUk2KDaUaiHG7fz0KlkNSBTHzbb/view?usp=sharing,2026-09-18T00:00:00Z
site-f1eb145e02,lat,37.360061,37.348948,-77.438379,"research-identified 2026-09-18 (high), skeptic-upheld: the CTP-01 building (the former Capital One data centre, OSM way 550355261 tagged addr 1401 Meadowville Technology Parkway, telecom=data_ce…. 1401 Meadowville Technology Parkway in Chesterfield County outside Richmond ... Chirisa received $200 million in construction funding to build CoreWeave's 242,… | https://baxtel.com/news/chirisa-obtains-a-200-million-loan-to-outfit-a-coreweave-data-facility-in-virginia",2026-09-18T00:00:00Z
site-f1eb145e02,lon,-77.327038,37.348948,-77.438379,"research-identified 2026-09-18 (high), skeptic-upheld: the CTP-01 building (the former Capital One data centre, OSM way 550355261 tagged addr 1401 Meadowville Technology Parkway, telecom=data_ce…. 1401 Meadowville Technology Parkway in Chesterfield County outside Richmond ... Chirisa received $200 million in construction funding to build CoreWeave's 242,… | https://baxtel.com/news/chirisa-obtains-a-200-million-loan-to-outfit-a-coreweave-data-facility-in-virginia",2026-09-18T00:00:00Z
site-f1eb145e02,geo_precision,exact,37.348948,-77.438379,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-f1eb145e02,city,Chester,37.348948,-77.438379,research-identified 2026-09-18: https://baxtel.com/news/chirisa-obtains-a-200-million-loan-to-outfit-a-coreweave-data-facility-in-virginia,2026-09-18T00:00:00Z
site-302f6e12ab,lat,33.777260,33.76286,-100.8168,"research-identified 2026-09-18 (high), skeptic-upheld: Mid-parcel of the Helios Phase I site (the former Argo Blockchain 160-acre parcel) at 984 County Road 112, on the south side of CR 112 abou…. RN Number: RN111537775 Name: GALAXY HELIOS I ... Street Address: 984 COUNTY ROAD 112, AFTON TX 79220 ... County: DICKENS Nearest City: AFTON ... Physical Locat… | https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=696469662022200",2026-09-18T00:00:00Z
site-302f6e12ab,lon,-100.868900,33.76286,-100.8168,"research-identified 2026-09-18 (high), skeptic-upheld: Mid-parcel of the Helios Phase I site (the former Argo Blockchain 160-acre parcel) at 984 County Road 112, on the south side of CR 112 abou…. RN Number: RN111537775 Name: GALAXY HELIOS I ... Street Address: 984 COUNTY ROAD 112, AFTON TX 79220 ... County: DICKENS Nearest City: AFTON ... Physical Locat… | https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=696469662022200",2026-09-18T00:00:00Z
site-302f6e12ab,geo_precision,exact,33.76286,-100.8168,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-302f6e12ab,address,"984 County Road 112, Afton, TX 79220",33.76286,-100.8168,research-identified 2026-09-18: https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=696469662022200,2026-09-18T00:00:00Z
site-302f6e12ab,city,Afton,33.76286,-100.8168,research-identified 2026-09-18: https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=696469662022200,2026-09-18T00:00:00Z
site-3b46b2cb88,lat,38.943246,39.001745,-77.403335,"research-identified 2026-09-18 (high), skeptic-upheld: centroid of the fenced OpenStreetMap industrial polygon named ""Google Data Center"" (operator=Google, telecom=data_center, OSM way 714622339…. between Rt. 50 and Evergreen Mills Road along Loudoun County Parkway ... Google ... purchased about 91 acres at Arcola Center ... up to 2.35 million square fee… | https://www.loudounnow.com/archives/supervisors-approve-45-more-acres-of-google-data-centers/article_228c43ae-2e0d-5ed6-8c7c-a801519ddd7d.html",2026-09-18T00:00:00Z
site-3b46b2cb88,lon,-77.525323,39.001745,-77.403335,"research-identified 2026-09-18 (high), skeptic-upheld: centroid of the fenced OpenStreetMap industrial polygon named ""Google Data Center"" (operator=Google, telecom=data_center, OSM way 714622339…. between Rt. 50 and Evergreen Mills Road along Loudoun County Parkway ... Google ... purchased about 91 acres at Arcola Center ... up to 2.35 million square fee… | https://www.loudounnow.com/archives/supervisors-approve-45-more-acres-of-google-data-centers/article_228c43ae-2e0d-5ed6-8c7c-a801519ddd7d.html",2026-09-18T00:00:00Z
site-3b46b2cb88,geo_precision,exact,39.001745,-77.403335,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-3b46b2cb88,city,Arcola,39.001745,-77.403335,research-identified 2026-09-18: https://www.loudounnow.com/archives/supervisors-approve-45-more-acres-of-google-data-centers/article_228c43ae-2e0d-5ed6-8c7c-a801519ddd7d.html,2026-09-18T00:00:00Z
site-0107c2bef8,lat,38.776123,38.731164,-77.548024,"research-identified 2026-09-18 (high), skeptic-upheld: Centroid of the first (operational 2023) Google data-center building, a 26,866 m2 / ~289,000 sq ft footprint (OSM way 1252196815, building=…. Google's data center complex is located at 13001 Rollins Ford Road, next to Gainesville High School and across the street from Jiffy Lube Live. ... The 250-acr… | https://www.princewilliamtimes.com/news/data-centers-near-gainesville-high-part-of-googles-9b-spend-in-virginia/article_27dd9b36-0cbd-4c86-9264-051ee5876e1d.html",2026-09-18T00:00:00Z
site-0107c2bef8,lon,-77.582523,38.731164,-77.548024,"research-identified 2026-09-18 (high), skeptic-upheld: Centroid of the first (operational 2023) Google data-center building, a 26,866 m2 / ~289,000 sq ft footprint (OSM way 1252196815, building=…. Google's data center complex is located at 13001 Rollins Ford Road, next to Gainesville High School and across the street from Jiffy Lube Live. ... The 250-acr… | https://www.princewilliamtimes.com/news/data-centers-near-gainesville-high-part-of-googles-9b-spend-in-virginia/article_27dd9b36-0cbd-4c86-9264-051ee5876e1d.html",2026-09-18T00:00:00Z
site-0107c2bef8,geo_precision,exact,38.731164,-77.548024,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-0107c2bef8,address,"13001 Rollins Ford Road, Bristow, VA 20136",38.731164,-77.548024,research-identified 2026-09-18: https://www.princewilliamtimes.com/news/data-centers-near-gainesville-high-part-of-googles-9b-spend-in-virginia/article_27dd9b36-0cbd-4c86-9264-051ee5876e1d.html,2026-09-18T00:00:00Z
site-0107c2bef8,city,Bristow,38.731164,-77.548024,research-identified 2026-09-18: https://www.princewilliamtimes.com/news/data-centers-near-gainesville-high-part-of-googles-9b-spend-in-virginia/article_27dd9b36-0cbd-4c86-9264-051ee5876e1d.html,2026-09-18T00:00:00Z
site-nogeo-d8f4a8db,lat,39.180104,,,"research-identified 2026-09-18 (high), skeptic-upheld: area-weighted centroid of the ~324-acre OSM landuse=construction (industrial) polygon (way 1363159086) whose south-west corner is the NE Pa…. Approving the plat of Parvin & Arlington a subdivision in Clay County, Missouri, on approximately 315 acres generally located at northeast corner of Northeast … | https://kansascity.legistar.com/gateway.aspx?m=l&id=47637",2026-09-18T00:00:00Z
site-nogeo-d8f4a8db,lon,-94.463372,,,"research-identified 2026-09-18 (high), skeptic-upheld: area-weighted centroid of the ~324-acre OSM landuse=construction (industrial) polygon (way 1363159086) whose south-west corner is the NE Pa…. Approving the plat of Parvin & Arlington a subdivision in Clay County, Missouri, on approximately 315 acres generally located at northeast corner of Northeast … | https://kansascity.legistar.com/gateway.aspx?m=l&id=47637",2026-09-18T00:00:00Z
site-nogeo-d8f4a8db,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-nogeo-d8f4a8db,city,Kansas City,,,research-identified 2026-09-18: https://kansascity.legistar.com/gateway.aspx?m=l&id=47637,2026-09-18T00:00:00Z
site-nogeo-ec39c5bd,lat,33.353600,,,"research-identified 2026-09-18 (high), skeptic-upheld: inside the 187-acre parcel at the northwest corner of Elliot Rd and Sossaman Rd, roughly 350 m north-west of the intersection (former alfal…. approximately 187 acres of property generally located at the northwest corner of Elliot and Sossaman Roads (City of Mesa file 19-0809, resolution authorising a… | https://mesa.legistar.com/LegislationDetail.aspx?ID=3998203&GUID=FC6B9CE4-208A-4AC1-AB2A-40255C1E9F74",2026-09-18T00:00:00Z
site-nogeo-ec39c5bd,lon,-111.674400,,,"research-identified 2026-09-18 (high), skeptic-upheld: inside the 187-acre parcel at the northwest corner of Elliot Rd and Sossaman Rd, roughly 350 m north-west of the intersection (former alfal…. approximately 187 acres of property generally located at the northwest corner of Elliot and Sossaman Roads (City of Mesa file 19-0809, resolution authorising a… | https://mesa.legistar.com/LegislationDetail.aspx?ID=3998203&GUID=FC6B9CE4-208A-4AC1-AB2A-40255C1E9F74",2026-09-18T00:00:00Z
site-nogeo-ec39c5bd,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-nogeo-ec39c5bd,address,"NW corner of E Elliot Rd & S Sossaman Rd, Mesa, AZ 85212",,,research-identified 2026-09-18: https://mesa.legistar.com/LegislationDetail.aspx?ID=3998203&GUID=FC6B9CE4-208A-4AC1-AB2A-40255C1E9F74,2026-09-18T00:00:00Z
site-nogeo-ec39c5bd,city,Mesa,,,research-identified 2026-09-18: https://mesa.legistar.com/LegislationDetail.aspx?ID=3998203&GUID=FC6B9CE4-208A-4AC1-AB2A-40255C1E9F74,2026-09-18T00:00:00Z
site-nogeo-93aa46f3,lat,41.136164,,,"research-identified 2026-09-18 (high), skeptic-upheld: Area-weighted centroid of Sarpy County tax parcel 011604968 (261.18 ac, owner FIREBALL GROUP LLC, situs 15235 Gold Coast Rd), i.e. inside t…. Location: 14865 Gold Coast Road, Papillion, Nebraska 68138 ... the Department is proposing to issue a Class I operating permit to Fireball Group LLC (FID# 1065… | https://dwee.nebraska.gov/news-events/public-notices/fireball-group-llc-0",2026-09-18T00:00:00Z
site-nogeo-93aa46f3,lon,-96.147773,,,"research-identified 2026-09-18 (high), skeptic-upheld: Area-weighted centroid of Sarpy County tax parcel 011604968 (261.18 ac, owner FIREBALL GROUP LLC, situs 15235 Gold Coast Rd), i.e. inside t…. Location: 14865 Gold Coast Road, Papillion, Nebraska 68138 ... the Department is proposing to issue a Class I operating permit to Fireball Group LLC (FID# 1065… | https://dwee.nebraska.gov/news-events/public-notices/fireball-group-llc-0",2026-09-18T00:00:00Z
site-nogeo-93aa46f3,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-nogeo-93aa46f3,city,Papillion,,,research-identified 2026-09-18: https://dwee.nebraska.gov/news-events/public-notices/fireball-group-llc-0,2026-09-18T00:00:00Z
site-nogeo-85ba6134,lat,39.496300,,,"research-identified 2026-09-18 (high), skeptic-upheld: the building OpenStreetMap maps as ""Google Data Center"" (addr 7600 USA Parkway), inside Storey County parcel 005-012-63 (Silver Slate LLC, …. NDEP Public Document Search, custom query 'NDEP - APC AIR PERMITS', Company Name 'Silver Slate*': Notice of Proposed Action, Class I Air Quality Operating Perm… | https://ndep-onbase.nv.gov/",2026-09-18T00:00:00Z
site-nogeo-85ba6134,lon,-119.433700,,,"research-identified 2026-09-18 (high), skeptic-upheld: the building OpenStreetMap maps as ""Google Data Center"" (addr 7600 USA Parkway), inside Storey County parcel 005-012-63 (Silver Slate LLC, …. NDEP Public Document Search, custom query 'NDEP - APC AIR PERMITS', Company Name 'Silver Slate*': Notice of Proposed Action, Class I Air Quality Operating Perm… | https://ndep-onbase.nv.gov/",2026-09-18T00:00:00Z
site-nogeo-85ba6134,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
