sub_id,osm,osm_name,note,added
sub-reynolds,way/396623554,"(no name tag; substation=generation, 115000)","research-identified 2026-09-09 (medium-high), id verified in the NY extract, OSM county Franklin County: 'Reynolds' is NYPA's 115 kV substation at the former Reynolds Metals (later Alcoa East) smelter in Rooseveltown, Town of Massena: NYSDEC spill record #0005321 names 'REYNOLDS ELECTRICAL SUBST', 194 Co | https://www.openstreetmap.org/way/396623554",2026-09-09
sub-rotterdam,way/139587105,Rotterdam Substation,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Schenectady County: OSM 'Rotterdam Substation' (National Grid, 345000;230000;115000;69000, access=no) is the well-known Rotterdam bulk station; the 115 kV bus is where lines #43/#44 toward Luther Forest originate. COUNTY | https://www.openstreetmap.org/way/139587105",2026-09-09
sub-sills-rd,way/1485150706,(no name tag),"research-identified 2026-09-09 (medium-high), id verified in the NY extract, OSM county Suffolk County: Sills Road is an existing LIPA 138 kV substation in Yaphank: FERC docket EL15-84 (Caithness Long Island II) states 'the proposed point of interconnection is at LIPA Sills Road 138 kV substation', News | https://www.openstreetmap.org/way/1485150706",2026-09-09
sub-teall-ln,way/220947888,Teall Avenue Station,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Onondaga County: OSM maps the yard as 'Teall Avenue Station' (power=substation, operator=National Grid, voltage=115000;34500), so 'Teall' matched nothing because of the 'Avenue Station' suffix. National Grid's substat | https://www.openstreetmap.org/way/220947888",2026-09-09
sub-va-chickahominy,way/81595538,Chickahominy Substation,"research-identified 2026-09-09 (high on identity; filing county disagrees (Charles City, not Henrico)), id verified in the VA extract, OSM county Charles City County: OSM way 81595538 'Chickahominy Substation', power=substation, substation=transmission, voltage=500000;230000 (no operator tag) — Dominion's Chickahominy 500/230 kV hub, the only substation of that nam | https://www.openstreetmap.org/way/81595538",2026-09-09
sub-va-enon,way/868888651,Enon Substation,"research-identified 2026-09-09 (high), id verified in the VA extract, OSM county Chesterfield County: Existing Dominion (Virginia Electric and Power Company) 230/34.5 kV substation at 13725 North Enon Church Road, Chester 23836, tagged power=substation, substation=distribution, voltage=230000;34500, n | https://api.openstreetmap.org/api/0.6/way/868888651",2026-09-09
sub-va-gordonsville,way/97721028,Gordonsville Substation,"research-identified 2026-09-09 (medium-high), id verified in the VA extract, OSM county Albemarle County: OSM way 97721028 'Gordonsville Substation', operator Virginia Electric and Power Company, substation=transmission, voltage 230000;115000, ~150 m x 140 m fenced yard with 230 kV and 115 kV busbars, cen | https://www.openstreetmap.org/way/97721028",2026-09-09
sub-va-sunset-hill,way/692003687,Subset Hills Substation,"research-identified 2026-09-09 (medium-high), id verified in the VA extract, OSM county Fairfax County: Existing station; the automated match failed on a typo. PJM DOM-2025-0030 (Need 01/06/2026, Solution 07/07/2026): DEV DP request to install a second 84 MVA 230/34.5 kV transformer at 'Sunset Hill Subs | https://www.pjm.com/-/media/DotCom/committees-groups/committees/teac/2026/20260707/20260707-item-14---dom-supplemental-projects.pdf",2026-09-09
sub-va-white-oak,way/578427832,White Oak Substation,"research-identified 2026-09-09 (high), id verified in the VA extract, OSM county Henrico County: OSM way 578427832 'White Oak Substation', operator=Dominion Energy, power=substation, substation=industrial, voltage=230000, fenced, centroid 37.48611,-77.24712; Nominatim places it in Henrico County  | Overpass API (mail.ru mirror) way 578427832 with out geom",2026-09-09
sub-willis,way/175766583,Willis Substation,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Franklin County: OSM way 175766583 'Willis Substation', operator=New York Power Authority, substation=transmission, voltage=345000;230000 (fixme notes the 345 kV expansion from Smart Path Connect), centroid 44.88911,- | Overpass API name~Willis substation search 44.4-45.05N",2026-09-09
sub-wood-street,way/86249380,Wood Street Substation,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Putnam County: OSM way 86249380 'Wood Street Substation', operator=NYSEG, substation=transmission, voltage=345000;115000, centroid 41.35313,-73.79379. HIFLD's WOOD STREET node is at 41.35384,-73.79396 with the 'E. F | Overpass API substation dump of Dutchess/Putnam bbox",2026-09-09
sub-haverstock,way/1344542590,Haverstock Substation,"research-identified 2026-09-09 (high), id verified on Overpass: NYPA's new Haverstock digital substation, Massena, tagged landuse=construction with name, note 'mostly complete per GSV on Fregoe Road' (check_date 2024-12-21) - not power=substation yet, which is why the extract missed it | https://www.nypa.gov/power/transmission/smart-path-connect",2026-09-09
sub-stamp,way/1442727125,Future Yellowtail Energy Substation,"research-identified 2026-09-09 (medium-high), id verified on Overpass: STAMP's 345/115 kV yard mapped as planned:power=substation under the developer name 'Yellowtail Energy' (GCEDC authorizing resolution 2022-10-06 in the OSM note) | https://www.gcedc.com/file-library/100038/YellowtailEnergyLLC.AuthorizingResolution.10.6.22.pdf",2026-09-09
sub-harings-corner,way/95197289,Harings Corner Substation,"research-identified 2026-09-09 (medium), id verified on Overpass: Orange & Rockland's 138/69 kV Harings Corner substation, 218 Orangeburgh Rd, Old Tappan NJ - across the state line from its Rockland County load, outside the NY extract | https://www.oru.com/",2026-09-09
