source,locality,site_id,name,operator,status,sq_ft,mw,utility,self_generation,parcel_id,zoning_case,permit_case,address,year,notes
loudoun_existing_dc_parcel,Loudoun County,045252512000,PROLOGIS NOVA 1,DCT DULLES PHASE I LLC,UNDER CONSTRUCTION,243908.0,,,,045252512000,ZRTD-2021-0003,BLDC-2023-009365,,,Private
loudoun_existing_dc_parcel,Loudoun County,045254455000,SUMMIT AT DULLES,DCT DULLES PHASE II LLC,BUILT,75802.0,,,,045254455000,,B10176120100,,,Private
loudoun_existing_dc_parcel,Loudoun County,045358110000,SUMMIT AT DULLES,DCT DULLES PHASE II LLC,BUILT,103045.0,,,,045358110000,,B10176230100,,,Private
loudoun_existing_dc_parcel,Loudoun County,042200988000,STAVERTON/SEVERN,GI TC 45360 SEVERN WAY LLC,BUILT,126869.0,,,,042200988000,,B00168820100,,,Private
loudoun_existing_dc_parcel,Loudoun County,060485060000,ASHBURN VILLAGE,DC-8-9-10 DE LLC,BUILT,321291.0,,,,060485060000,ZMAP-1984-0007,"B30339440100,B40414930100",,,Private
loudoun_existing_dc_parcel,Loudoun County,060386530000,BEAUMEADE,NTT GLOBAL DATA CENTERS AMERICAS INC,BUILT,123200.0,,,,060386530000,ZRTD-2015-0002,B40429010100,,,Private
loudoun_existing_dc_parcel,Loudoun County,060182916000,ASHBURN CORPORATE CENTER,,BUILT,287980.0,,,,060182916000,,"B10008180100,B10008140100,B10008160100",,,Private
loudoun_existing_dc_parcel,Loudoun County,089374763000,DIGITAL REALTY CAMPUS 1,,BUILT,240326.0,,,,089374763000,ZMAP-1989-0038,"B00135410100,B00135430100",,,Private
loudoun_existing_dc_parcel,Loudoun County,045175529000,CONCORDE INDUSTRIAL PARK,MCP 22745 & 22755 RELOCATION DRIVE LLC,BUILT,251091.0,,,,045175529000,ZMAP-2012-0018,"B30424460100,B30424420100",,,Private
loudoun_existing_dc_parcel,Loudoun County,089291706000,DIGITAL REALTY CAMPUS 1,DIGITAL LOUDOUN PKWY CTR NORTH LLC,BUILT,1140175.0,,,,089291706000,ZMAP-2011-0006,"B30422750100,B50328460100,B60258250100,B20340660100,B30295890100",,,Private
loudoun_existing_dc_parcel,Loudoun County,088200644000,QUANTUM PARK (VERIZON CAMPUS),EQUINIX LLC,BUILT,108336.0,,,,088200644000,ZMAP-1998-0003,B70062791300,,,Private
loudoun_existing_dc_parcel,Loudoun County,034468458000,DULLES INTERNATIONAL,22810-22860 INTERNATIONAL DRIVE LLC,BUILT,121008.0,,,,034468458000,ZRTD-2011-0003,"B90050470100,B90034600100",,,Private
loudoun_existing_dc_parcel,Loudoun County,034462865000,DULLES INTERNATIONAL,C1 NORTHERN VIRGINIA - STERLING IV LLC,BUILT,128521.0,,,,034462865000,ZRTD-2011-0003,B60370360100,,,Private
loudoun_existing_dc_parcel,Loudoun County,044370416000,DIGITAL LOUDOUN IV,DIGITAL LOUDOUN IV LLC,BUILT,788982.0,,,,044370416000,ZRTD-2017-0005,"B00221580100,B20682390100",,,Private
loudoun_existing_dc_parcel,Loudoun County,060307119000,BEAUMEADE,BCORE COPT DC-15 LLC,BUILT,447228.0,,,,060307119000,ZRTD-2011-0007,"B60271020100,B50453140100,B50449830100",,,Private
loudoun_existing_dc_parcel,Loudoun County,041352218000,ST JOHN & BEAUMEADE,BEAUMEADE LC PHASE III LLC,BUILT,147615.0,,,,041352218000,,B80223390100,,,Private
loudoun_existing_dc_parcel,Loudoun County,059309091000,ST JOHN & BEAUMEADE,BEAUMEADE LC PHASE III LLC,BUILT,147615.0,,,,059309091000,,B80221460100,,,Private
loudoun_existing_dc_parcel,Loudoun County,060209652000,BEAUMEADE,EQUINIX RP II LLC,BUILT,1323762.0,,,,060209652000,ZRTD-2015-0003,"B30532660100,B10495230100,BLDC-2024-057229,B60293770100,B80381160100",,,Private
loudoun_existing_dc_parcel,Loudoun County,124369522000,CYRUSONE,C1 NORTHERN VIRGINIA - STERLING IX LLC,BUILT/UNDER CONSTRUCTION,691656.0,,,,124369522000,,"B90254180100,B10462030100,BLDC-2025-012490",,,Private
loudoun_existing_dc_parcel,Loudoun County,061361948000,DUPONT FABROS 1,BLUE SLING ACC 9 LLC,BUILT,362108.0,,,,061361948000,ZMAP-1998-0003,B60283300100,,,Private
loudoun_existing_dc_parcel,Loudoun County,061268762000,DUPONT FABROS 1,BLUE SLING ACC 10 LLC,BUILT,318143.0,,,,061268762000,ZMAP-1998-0003,B70278910100,,,Private
loudoun_existing_dc_parcel,Loudoun County,042197707000,PARAGON PARK,BCORE COPT DC-21 LLC,BUILT,296380.0,,,,042197707000,ZRTD-2016-0012,"B70294140100,B70294050100",,,Private
loudoun_existing_dc_parcel,Loudoun County,030296913000,TALL OAKS,C1 NORTHERN VIRGINIA - STERLING VIII LLC,BUILT,154125.0,,,,030296913000,ZRTD-2016-0010,B70361030100,,,Private
loudoun_existing_dc_parcel,Loudoun County,030382006000,TALL OAKS,MARIES TECH PARK LLC,BUILT,426710.0,,,,030382006000,ZRTD-2017-0009,"B80381130100,B80296900100",,,Private
loudoun_existing_dc_parcel,Loudoun County,033201325000,TRANSDULLES,AMAZON DATA SERVICES INC,BUILT,437160.0,,,,033201325000,,"B70251450100,B60430220100,B70240720100",,,Private
loudoun_existing_dc_parcel,Loudoun County,034365461000,JK CORPORATE CAMPUS,DULLES NCP LLC,BUILT,203200.0,,,,034365461000,ZRTD-2018-0002,B80346860100,,,Private
loudoun_existing_dc_parcel,Loudoun County,044282013000,BROAD RUN TECHNOLOGY PARK,GI TC LOUDOUN LLC,BUILT,234125.0,,,,044282013000,ZRTD-2017-0010,"B80278450100,B80340010100",,,Private
loudoun_existing_dc_parcel,Loudoun County,097398776000,,ML-AI QCC OWNER LLC,BUILT,508026.0,,,,097398776000,ZMAP-2017-0004,"B80278520100,B80357790100,B80324090100",,,Private
loudoun_existing_dc_parcel,Loudoun County,124299328000,PROLOGIS PARK GATEWAY - RT 606,PROLOGIS-EXCHANGE 43461 OLD OX ROAD LLC,BUILT,474570.0,,,,124299328000,ZMAP-1986-0500,"B70459570100,B80342770100,B80316200100",,,Private
loudoun_existing_dc_parcel,Loudoun County,088101859000,QUANTUM PARK (VERIZON CAMPUS),ALIGNED ENERGY DATA CENTERS IAD PROPCO LLC,BUILT,443260.0,,,,088101859000,ZMAP-1998-0003,"B00276300200,B20470310100",,,Private
loudoun_existing_dc_parcel,Loudoun County,061355894000,QUANTUM PARK (VERIZON CAMPUS),ALIGNED ENERGY DATA CENTERS (ASHBURN)\ PROPCO LLC,BUILT,368325.0,,,,061355894000,ZMAP-1998-0003,B80399590100,,,Private
loudoun_existing_dc_parcel,Loudoun County,246200886000,QUAIL RIDGE,AMAZON DATA SERVICES INC,BUILT,408026.0,,,,246200886000,ZMAP-2005-0036,"B90361440100,B90256090100",,,Private
loudoun_existing_dc_parcel,Loudoun County,246203645000,QUAIL RIDGE,AMAZON DATA SERVICES INC,UNDER CONSTRUCTION,505200.0,,,,246203645000,ZMAP-2005-0036,"B20655910100,B20656720100",,,Private
loudoun_existing_dc_parcel,Loudoun County,061285496000,LOUDOUN CENTER - WORLDCOM/UUNET,LOHRASP VENTURES LLC,BUILT,585593.0,,,,061285496000,ZRTD-2018-0001,B10399400100,,,Private
loudoun_existing_dc_parcel,Loudoun County,062493798000,DIGITAL LOUDOUN III (DIGITIAL REALITY CAMPUS 2),DIGITAL LOUDOUN 3 LLC,BUILT,789350.0,,,,062493798000,ZRTD-2017-0005,"B80393430100,B90203010100",,,Private
loudoun_existing_dc_parcel,Loudoun County,044288975000,ASHBURN NEXUS/PROJECT VIPER,VANTAGE DATA CENTERS VA11 LLC,BUILT,484862.0,,,,044288975000,ZRTD-2017-0010,"B80270360100,B00294300100",,,Private
loudoun_existing_dc_parcel,Loudoun County,040464286000,COMMONWEALTH CENTER,VISA USA INC,BUILT,365855.0,,,,040464286000,ZRTD-2014-0006,B70126130100,,,Private
loudoun_existing_dc_parcel,Loudoun County,061275931000,LOUDOUN CENTER - WORLDCOM/UUNET,KAVEH VENTURES LLC,BUILT,499438.0,,,,061275931000,ZMAP-1998-0003,B80432150100,,,Private
loudoun_existing_dc_parcel,Loudoun County,034263373000,JK CORPORATE CAMPUS,DULLES NCP II LLC,BUILT,169960.0,,,,034263373000,ZRTD-2011-0003,B90340490100,,,Private
loudoun_existing_dc_parcel,Loudoun County,034357851000,JK CORPORATE CAMPUS,DULLES NCP LLC,BUILT,147890.0,,,,034357851000,ZRTD-2011-0003,B80271110100,,,Private
loudoun_existing_dc_parcel,Loudoun County,045494813000,HIGHPOINT,22350 KIPPER (VA) LLC,BUILT,203460.0,,,,045494813000,ZMAP-2016-0022,B90376850100,,,Private
loudoun_existing_dc_parcel,Loudoun County,044193385000,HIGHPOINT,22350 KIPPER VA LLC,BUILT,214360.0,,,,044193385000,ZMAP-2016-0022,B90283010100,,,Private
loudoun_existing_dc_parcel,Loudoun County,061177666000,DUPONT FABROS 1,,BUILT,984055.0,,,,061177666000,ZMAP-1998-0003,"B80268620100,B00289640100",,,Private
loudoun_existing_dc_parcel,Loudoun County,034385918000,WATERSIDE NORTH,WATERSIDE I LLC,BUILT,976046.0,,,,034385918000,ZMAP-2018-0011,"B10336680100,B10412110100,B90253890001,B90239840001,B00228740100,B20499950100",,,Private
loudoun_existing_dc_parcel,Loudoun County,045352692000,BROAD RUN TECHNOLOGY PARK,FR RANDOLPH DRIVE LLC,BUILT,143797.0,,,,045352692000,ZRTD-2012-0006,"B90021790100,B70403110100",,,Private
loudoun_existing_dc_parcel,Loudoun County,045458114000,FOUR CORNERS,QTS DULLES LLC,BUILT,64669.0,,,,045458114000,ZMAP-2011-0002,B20274810100,,,Private
loudoun_existing_dc_parcel,Loudoun County,089104437000,PROJECT SAMUEL,"QTS SHELLHORN, LLC",BUILT,256348.0,,,,089104437000,ZMAP-1990-0015,B10261030100,,,Private
loudoun_existing_dc_parcel,Loudoun County,089100937000,PROJECT SAMUEL,"QTS SHELLHORN, LLC",BUILT,310717.0,,,,089100937000,ZMAP-1990-0015,B00313090100,,,Private
loudoun_existing_dc_parcel,Loudoun County,061407107000,BEAUMEADE,BEAUMEADE DC BUILDING LLC,BUILT,190250.0,,,,061407107000,ZRTD-2019-0007,B10271620100,,,Private
loudoun_existing_dc_parcel,Loudoun County,061303369000,BEAUMEADE,BEAUMEADE DC BUILDING LLC,BUILT,190250.0,,,,061303369000,ZRTD-2019-0007,B10256430100,,,Private
loudoun_existing_dc_parcel,Loudoun County,042152579000,BEAUMEADE,AREP BEAUMEADE LLC,BUILT,247420.0,,,,042152579000,ZRTD-2017-0012,B10415920100,,,Private
loudoun_existing_dc_parcel,Loudoun County,162392026000,ICSP @ ARCOLA,AMAZON DATA SERVICES INC,BUILT,710921.0,,,,162392026000,,"B70267480100,B80220930100,B00261830100,B50456040100,B90305250100,B00327600100,B10481290100",,,Private
loudoun_existing_dc_parcel,Loudoun County,235297431000,COMPASS CREEK,MICROSOFT CORP,BUILT/UNDER CONSTRUCTION,1289688.0,,,,235297431000,,"BLDC-2024-000861,B20615360100,B00263240100,B00263150100,B10443020100,B00227720100,B10442950100,B10443010100,B10442990100,B10442980100,B10442960100,B10443050100,B10443060100,B10443040100,B10443030100",,,Private
loudoun_existing_dc_parcel,Loudoun County,162176713000,ARCOLA CENTER,WHEELER SURVEY COMPANY LLC,BUILT/UNDER CONSTRUCTION,923505.0,,,,162176713000,ZMAP-2016-0013,"B10275570200,B10275570100,BLDC-2024-008914,B10376230100,B80240720100",,,Private
loudoun_existing_dc_parcel,Loudoun County,043482656000,PARAGON PARK,CABIN BRANCH CREEK LLC,BUILT,685682.0,,,,043482656000,ZRTD-2016-0012,"B90365580100,B90411940100,B90299190100,B00228780100",,,Private
loudoun_existing_dc_parcel,Loudoun County,044261032000,BROAD RUN TECHNOLOGY PARK,"SI NVA01, LLC",BUILT,180039.0,,,,044261032000,ZMAP-2008-0011,B70045460100,,,Private
loudoun_existing_dc_parcel,Loudoun County,045299249000,DIGITAL STERLING PREMEIRE,DIGITAL STERLING PREMIER LLC,BUILT,258200.0,,,,045299249000,ZRTD-2019-0006,B20493800100,,,Private
loudoun_existing_dc_parcel,Loudoun County,063494014000,WEST DULLES STATION,QTS LOCKRIDGE DC2 LLC,BUILT,274450.0,,,,063494014000,ZRTD-2016-0002,B20499350100,,,Private
loudoun_existing_dc_parcel,Loudoun County,063498140000,WEST DULLES STATION,ASHBURN ACQUISITION CO II LLC,BUILT,308630.0,,,,063498140000,ZRTD-2016-0002,B20456920100,,,Private
loudoun_existing_dc_parcel,Loudoun County,044381108000,BROAD RUN TECHNOLOGY PARK,VANTAGE DATA CENTERS VA13 LLC,BUILT,729298.0,,,,044381108000,ZRTD-2017-0010,"B20448700100,B10353600100",,,Private
loudoun_existing_dc_parcel,Loudoun County,234371847000,COMPASS CREEK,SI NVA06B LLC,BUILT/UNDER CONSTRUCTION,621036.0,,,,234371847000,,"BLDC-2024-011260,BLDC-2024-032400",,,Private
loudoun_existing_dc_parcel,Loudoun County,045195615000,LOUDOUN GATEWAY CENTER,AMAZON DATA SERVICES INC,BUILT,226456.0,,,,045195615000,ZRTD-2018-0008,B20590530100,,,Private
loudoun_existing_dc_parcel,Loudoun County,044152877000,BROAD RUN BUSINESS CENTER,QTS INVESTMENT PROPERTIES ASHBURN LLC,BUILT,427337.0,,,,044152877000,ZRTD-2016-0004,B70306650100,,,Private
loudoun_existing_dc_parcel,Loudoun County,097354183000,ICSP @ EASTGATE,"AMAZON DATA SERVICES, INC",BUILT,629505.0,,,,097354183000,,"B10254120100,B00236340100,B70385100100,B50362480100,B10319860100",,,Private
loudoun_existing_dc_parcel,Loudoun County,030455548000,EDGECORE DULLES,MECP1 ASHBURN 1 LLC,BUILT,258716.0,,,,030455548000,ZMAP-2007-0001,B10269840100,,,Private
loudoun_existing_dc_parcel,Loudoun County,029151508000,EDGECORE DULLES,MECP2 ASHBURN 2 LLC,BUILT,258716.0,,,,029151508000,ZMAP-2007-0001,B00300930100,,,Private
loudoun_existing_dc_parcel,Loudoun County,041108666000,EDGECORE DULLES,MECP3 ASHBURN 3 LLC,BUILT,258716.0,,,,041108666000,ZMAP-2007-0001,B00301000100,,,Private
loudoun_existing_dc_parcel,Loudoun County,061307791000,BEAUMEADE,ASHBURN DATA PROPERTY OWNER LP,UNDER CONSTRUCTION,210170.0,,,,061307791000,ZRTD-2011-0004,B30531920100,,,Private
loudoun_existing_dc_parcel,Loudoun County,203354208000,ARCOLA BUSINESS PARK,MICROSOFT CORP,BUILT,735117.0,,,,203354208000,ZMAP-2005-0036,"BLDC-2024-000500,B10394840200,BLDC-2024-000479",,,Private
loudoun_existing_dc_parcel,Loudoun County,030393965000,LOUDOUN TECH CENTER,,BUILT,464430.0,,,,030393965000,ZRTD-2014-0001,"B50481110100,B40316450100,B60348010100",,,Private
loudoun_existing_dc_parcel,Loudoun County,032155119000,VANTAGE DATA CENTER - STERLING,VANTAGE DATA CENTERS VA2 LLC,BUILT,550453.0,,,,032155119000,ZMAP-2022-0007,"B30570710100,B20683790100,B30565370100",,,Private
loudoun_existing_dc_parcel,Loudoun County,194103673000,TRUE NORTH,COMPASS DATACENTERS IAD I LLC,BULT/UNDER CONSTRUCTION,547475.0,,,,194103673000,ZMAP-2017-0003,"B30554590100,B10332820100,B20453710100,B80293260100,B20457790100,B80293260400",,,Private
loudoun_existing_dc_parcel,Loudoun County,193274995000,STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST),NOVA BUILDING 2 LLC,UNDER CONSTRUCTION,413099.0,,,,193274995000,ZMAP-2008-0017,BLDC-2023-004504,,,Private
loudoun_existing_dc_parcel,Loudoun County,193276668000,STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST),NOVA BUILDING 1 LLC,BUILT,414253.0,,,,193276668000,ZMAP-2008-0017,BLDC-2023-004503,,,Private
loudoun_existing_dc_parcel,Loudoun County,044292829000,,,UNDER CONSTRUCTION,182782.0,,,,044292829000,ZRTD-2017-0010,BLDC-2024-010722,,,Private
loudoun_existing_dc_parcel,Loudoun County,044175589000,BROAD RUN TECHNOLOGY PARK,VANTAGE DATA CENTERS VA16 LLC,UNDER CONSTRUCTION,255935.0,,,,044175589000,ZRTD-2023-0001,BLDC-2024-041620,,,Private
loudoun_existing_dc_parcel,Loudoun County,093365404000,DIGITAL DULLES,DIGITAL WL 2834 LLC,BUILT/UNDER CONSTRUCTION,2603391.0,,,,093365404000,,"B20629620100,B10386280100,BLDC-2024-044335,BLDC-2025-006199,B10386300100",,,Private
loudoun_existing_dc_parcel,Loudoun County,045282657000,DOWNS INDUSTRIAL PARK,DCT DULLES DOWNS LLC,BUILT,287460.0,,,,045282657000,,"B50455190100,B50442400100",,,Private
loudoun_existing_dc_parcel,Loudoun County,088381462000,ASHBURN CENTER NORTH,,BUILT,280088.0,,,,088381462000,ZMAP-1988-0270,"BLDC-2023-017876,B70084720100,B70084750100",,,Private
loudoun_existing_dc_parcel,Loudoun County,045391908000,,PROLOGIS,BUILT,143337.0,,,,045391908000,,"B80091200100,B80091250100",,,Private
loudoun_existing_dc_parcel,Loudoun County,088392214000,ASHBURN TECHNOLOGY PARK,INTERGATE ASHBURN I LLC,UNDER CONSTRUCTION,324000.0,,,,088392214000,ZMAP-1988-0270,BLDC-2023-018612,,,Private
loudoun_existing_dc_parcel,Loudoun County,113272390000,VANTAGE DATA CENTER - VA3,,BUILT,385398.0,,,,113272390000,,B30595980100,,,Private
loudoun_existing_dc_parcel,Loudoun County,089208954000,DULLES BERRY (DUPONT FABROS 3),DARAB VENTURES ONE LLC,UNDER CONSTRUCTION,616650.0,,,,089208954000,ZMAP-1986-0056,B20548510100,,,Private
loudoun_existing_dc_parcel,Loudoun County,088389930000,ASHBURN TECHNOLOGY PARK,INTERGATE ASHBURN I LLC,BUILT,580498.0,,,,088389930000,ZMAP-1988-0270,"B10207660100,B80245800100",,,Private
loudoun_existing_dc_parcel,Loudoun County,042394385000,KINCORA,UNIT OWNERS-GENERAL COMMON ELEMENT,BUILT,516426.0,,,,042394385000,ZMAP-2008-0021,"B90319710100,B80280910100,B60426820100",,,Private
loudoun_existing_dc_parcel,Loudoun County,122207249000,NORTHWOODS,AMAZON DATA SERVICES INC,UNDER CONSTRUCTION,1334306.0,,,,122207249000,ZMAP-1988-0200,"BLDC-2025-017639,BLDC-2025-017606,BLDC-2023-016518,BLDC-2024-048504",,,Private
loudoun_existing_dc_parcel,Loudoun County,043176560000,DULLES 28 TECHNOLOGY PARK,LONG DRIVE LAND CO LLC,UNDER CONSTRUCTION,254174.0,,,,043176560000,ZMAP-2020-0015,BLDC-2024-042496,,,Private
loudoun_existing_dc_parcel,Loudoun County,043171795000,DULLES 28 TECHNOLOGY PARK,LONG DRIVE LAND CO LLC,UNDER CONSTRUCTION,254144.0,,,,043171795000,ZMAP-2020-0015,BLDC-2024-063039,,,Private
loudoun_existing_dc_parcel,Loudoun County,030292034000,45865 MARIES ROAD,MECP 1 ASHBURN 2 LLC,UNDER CONSTRUCTION,416115.0,,,,030292034000,ZMAP-2021-0014,BLDC-2024-063290,,,Private
loudoun_existing_dc_parcel,Loudoun County,044155625000,BROAD RUN TECHNOLOGY PARK,QTS INVESTMENT PROPERTIES ASHBURN LLC,UNDER CONSTRUCTION,189890.0,,,,044155625000,ZRTD-2016-0004,BLDC-2024-056493,,,Private
loudoun_existing_dc_parcel,Loudoun County,089496314000,LOUDOUN METRO,CONDOMINIUM COMMON ELEMENT,UNDER CONSTRUCTION,478908.0,,,,089496314000,ZMAP-1998-0003,BLDC-2024-055591,,,Private
loudoun_existing_dc_parcel,Loudoun County,060170268000,ASHBURN CORPORATE CENTER,FOX PROPERTIES LLC,BUILT,611491.0,,,,060170268000,ZRTD-2017-0008,"B70236240100,B00140800100",,,Private
loudoun_existing_dc_parcel,Loudoun County,061467942000,ASHBURN CORPORATE CENTER,ALSHAIN VENTURES LLC,BUILT,446513.0,,,,061467942000,ZRTD-2017-0008,B30344710100,,,Private
loudoun_existing_dc_parcel,Loudoun County,060178810000,ASHBURN CORPORATE CENTER,GRIZZLY VENTURES LLC,BUILT,286865.0,,,,060178810000,ZRTD-2017-0008,B60153870100,,,Private
loudoun_existing_dc_parcel,Loudoun County,060189720000,BEAUMEADE,21673 BEAUMEADE CIRCLE LLC,BUILT,455795.0,,,,060189720000,ZRTD-2017-0016,B20600260100,,,Private
loudoun_existing_dc_parcel,Loudoun County,061483407000,BEAUMEADE,EQUINIX LLC,BUILT,296539.0,,,,061483407000,ZMAP-2008-0013,"B90127100100,B00038620100",,,Private
loudoun_existing_dc_parcel,Loudoun County,061450432000,ASHBURN TECHNOLOGY PARK (BOS OF LOUDOUN COUNTY),NTT GLOBAL DATA CENTERS VA LLC,BUILT/UNDER CONSTRUCTION,1085670.0,,,,061450432000,ZMAP-1988-0270,"B80353670100,B70245830100,B90196330100,B10415820100,BLDC-2024-047460",,,Private
loudoun_existing_dc_parcel,Loudoun County,087100681000,ASHBURN TECHNOLOGY PARK (BOS OF LOUDOUN COUNTY),NTT GLOBAL DATA CENTERS VA LLC,BUILT,217934.0,,,,087100681000,ZMAP-1988-0270,B20526860100,,,Private
loudoun_existing_dc_parcel,Loudoun County,193178229000,STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST),NOVA BUILDING 4 LLC,UNDER CONSTRUCTION,353319.0,,,,193178229000,ZMAP-2008-0017,BLDC-2024-041274,,,Private
loudoun_existing_dc_parcel,Loudoun County,193281883000,STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST),NOVA BUILDING 3 LLC,UNDER CONSTRUCTION,413099.0,,,,193281883000,ZMAP-2008-0017,BLDC-2024-039132,,,Private
loudoun_existing_dc_parcel,Loudoun County,046368231000,LE BOURGET BUSINESS PARK,22995 WILDER COURT LLC,BUILT,130432.0,,,,046368231000,ZMAP-1986-0015,B00036580100,,,Private
loudoun_existing_dc_parcel,Loudoun County,203371445000,EVERGREEN MEADOWS,YONDR JK 2 LLC,BUILT,335638.0,,,,203371445000,ZMAP-2005-0036,B20600690100,,,Private
loudoun_existing_dc_parcel,Loudoun County,044461959000,PACIFIC CORPORATE PARK,PACIFIC-ASHBURN CAMPUS LLC,UNDER CONSTRUCTION,1027499.0,,,,044461959000,ZRTD-2022-0001,"BLDC-2024-064947,BLDC-2024-064895,BLDC-2025-012388",,,Private
loudoun_existing_dc_parcel,Loudoun County,203170856000,INOVA HEALTH SYSTEM PLAN,"AMAZON DATA SERVICES, INC",UNDER CONSTRUCTION,429213.0,,,,203170856000,ZMAP-2005-0036,BLDC-2024-031304,,,Private
loudoun_existing_dc_parcel,Loudoun County,061394321000,BEAUMEADE,DIGITAL FILIGREE LLC,UNDER CONSTRUCTION,336544.0,,,,061394321000,ZMAP-2006-0022,BLDC-2025-011501,,,Private
loudoun_existing_dc_parcel,Loudoun County,113167503000,BELMONT INNOVATION STATION,LOUDOUN PROP 7 LLC,UNDER CONSTRUCTION,243984.0,,,,113167503000,ZMAP-2022-0021,BLDC-2025-009449,,,Private
loudoun_existing_dc_parcel,Loudoun County,045465016000,1501 MORAN ROAD,1501 MORAN ROAD DEVELOPMENT OWNER LLC,UNDER CONSTRUCTION,245801.0,,,,045465016000,ZRTD-2021-0008,BLDC-2025-003373,,,Private
loudoun_existing_dc_parcel,Loudoun County,030286764000,TALL OAKS,MARIES TECH PARK II LLC,UNDER CONSTRUCTION,218112.0,,,,030286764000,ZRTD-2017-0007,BLDC-2024-055076,,,Private
loudoun_existing_dc_parcel,Loudoun County,045399350000,DIGITAL STERLING PREMEIRE,DIGITAL GOLD STERLING LLC,BUILT,180355.0,,,,045399350000,ZRTD-2016-0003,B20654800100,,,Private
loudoun_existing_dc_parcel,Loudoun County,194498227000,PROJECT ASPEN,HAYDEN TECHNOLOGIES LLC,BUILT,920133.0,,,,194498227000,ZMAP-2008-0017,"B90275380100,B80333910100,B00405460100,B00313850100,B00305190100,BLDC-2024-008905",,,Private
loudoun_existing_dc_parcel,Loudoun County,063479549000,PROJECT NOVA,SDC ASHBURN I LLC,UNDER CONSTRUCTION,1063133.0,,,,063479549000,,"BLDC-2025-033837,BLDC-2024-055894",,,Private
