source,locality,name,operator,operator_confidence,operator_raw,operator_osm,osm_ref,status,sq_ft,mw,utility,utility_confidence,utility_candidates,utility_boundary_m,self_generation,self_generation_source,parcel_id,zoning_case,lon,lat
loudoun_existing,Loudoun County,DIGITAL REALTY CAMPUS 1,Digital Realty,matched,DIGITAL DEVIN SHAFRON D LLC,Digital Realty,IAD14,BUILT,117000,,Dominion (VEPCO),unambiguous,,1606,yes (air permit),DEQ 73355 [operating],089367531000,ZMAP-1989-0038,-77.487219,39.003291
loudoun_existing,Loudoun County,SUMMIT AT DULLES,Amazon Web Services,osm_tag,FR SUMMIT LLC,Amazon Web Services,Amazon IAD12,BUILT,133620,,Dominion (VEPCO),unambiguous,,1262,yes (air permit),DEQ 73860 [operating],045159083000,,-77.447617,38.988722
loudoun_existing,Loudoun County,DIGITAL REALTY CAMPUS 1,Digital Realty,matched,GI TC DEVIN SHAFRON LLC,Digital Realty,,BUILT,133560,,Dominion (VEPCO),unambiguous,,1422,yes (air permit),DEQ 73868 [operating],089382215000,ZMAP-1989-0038,-77.481912,39.002852
loudoun_existing,Loudoun County,DIGITAL REALTY CAMPUS 1,Digital Realty,matched,DIGITAL DEVIN SHAFRON B LLC,Digital Realty,IAD12,BUILT,180000,,Dominion (VEPCO),unambiguous,,1359,yes (air permit),DEQ 73868 [operating],089278681000,ZMAP-1989-0038,-77.483322,39.001977
loudoun_existing,Loudoun County,DIGITAL LOUDOUN III (DIGITIAL REALITY CAMPUS 2),Digital Realty,matched,DIGITAL LOUDOUN 3 LLC,Digital Realty,IAD73,BUILT,1535869,,Dominion (VEPCO),unambiguous,,2104,,,062462761000,ZMAP-1998-0003,-77.466188,39.006618
loudoun_existing,Loudoun County,BEAUMEADE,Equinix,matched_osm_differs,EQUINIX LLC,H5 Data Centers,Ashburn,BUILT,69800,,Dominion (VEPCO),unambiguous,,3603,yes (air permit),DEQ 74276 [planned],061307725000,,-77.451358,39.014852
loudoun_existing,Loudoun County,ASHBURN CENTER NORTH,DataBank,osm_tag,ZCOLO LLC,DataBank,IAD3,BUILT,286800,,Dominion (VEPCO),unambiguous,,3067,yes (air permit),DEQ 73935 [operating],088481748000,ZMAP-1988-0270,-77.481725,39.017786
loudoun_existing,Loudoun County,PROLOGIS NOVA 1,Prologis,matched_osm_differs,DCT DULLES PHASE I LLC,Amazon Web Services,Amazon IAD230,UNDER CONSTRUCTION,243908,,Dominion (VEPCO),unambiguous,,1268,yes (air permit),DEQ 73860 [operating],045252512000,ZRTD-2021-0003,-77.449929,38.989596
loudoun_existing,Loudoun County,SUMMIT AT DULLES,Amazon Web Services,osm_tag,DCT DULLES PHASE II LLC,Amazon Web Services,Amazon IAD16,BUILT,75802,,Dominion (VEPCO),unambiguous,,1417,yes (air permit),DEQ 73860 [operating],045254455000,,-77.448817,38.990627
loudoun_existing,Loudoun County,SUMMIT AT DULLES,Amazon Web Services,osm_tag,DCT DULLES PHASE II LLC,Amazon Web Services,Amazon IAD15,BUILT,103045,,Dominion (VEPCO),unambiguous,,1526,yes (air permit),DEQ 73757 [operating],045358110000,,-77.448528,38.991734
loudoun_existing,Loudoun County,STAVERTON/SEVERN,Amazon Web Services,osm_tag,GI TC 45360 SEVERN WAY LLC,Amazon Web Services,IAD10,BUILT,126869,,Dominion (VEPCO),unambiguous,,5031,yes (air permit),DEQ 74114 [operating],042200988000,,-77.432888,39.021688
loudoun_existing,Loudoun County,ASHBURN VILLAGE,Amazon Web Services,osm_tag,DC-8-9-10 DE LLC,Amazon Web Services,,BUILT,321291,,Dominion (VEPCO),unambiguous,,4632,yes (air permit),DEQ 74049 [operating],060485060000,ZMAP-1984-0007,-77.458961,39.02907
loudoun_existing,Loudoun County,BEAUMEADE,NTT / RagingWire,matched_osm_differs,NTT GLOBAL DATA CENTERS AMERICAS INC,NTT,VA2,BUILT,123200,,Dominion (VEPCO),unambiguous,,4250,yes (air permit),DEQ 74094 [operating],060386530000,ZRTD-2015-0002,-77.457648,39.024891
loudoun_existing,Loudoun County,ASHBURN CORPORATE CENTER,Digital Realty,osm_tag,,Digital Realty,ACC2,BUILT,287980,,Dominion (VEPCO),unambiguous,,3781,yes (air permit),DEQ 73643 [operating],060182916000,,-77.460085,39.021126
loudoun_existing,Loudoun County,DIGITAL REALTY CAMPUS 1,Digital Realty,matched,,Digital Realty,IAD24,BUILT,240326,,Dominion (VEPCO),unambiguous,,1686,yes (air permit),DEQ 73355 [operating],089374763000,ZMAP-1989-0038,-77.484967,39.004656
loudoun_existing,Loudoun County,CONCORDE INDUSTRIAL PARK,Amazon Web Services,osm_tag,MCP 22745 & 22755 RELOCATION DRIVE LLC,Amazon Web Services,IAD58,BUILT,251091,,Dominion (VEPCO),unambiguous,,911,yes (air permit),DEQ 74064 [operating],045175529000,ZMAP-2012-0018,-77.442241,38.986499
loudoun_existing,Loudoun County,DIGITAL REALTY CAMPUS 1,Digital Realty,matched,DIGITAL LOUDOUN PKWY CTR NORTH LLC,Digital Realty,IAD36,BUILT,1140175,,Dominion (VEPCO),unambiguous,,1167,,,089291706000,ZMAP-2011-0006,-77.479198,39.000821
loudoun_existing,Loudoun County,QUANTUM PARK (VERIZON CAMPUS),Equinix,matched,EQUINIX LLC,Equinix,DC13,BUILT,108336,,Dominion (VEPCO),unambiguous,,2493,yes (air permit),DEQ 73935 [operating],088200644000,ZMAP-1998-0003,-77.475332,39.012595
loudoun_existing,Loudoun County,DULLES INTERNATIONAL,Centersquare,osm_tag,22810-22860 INTERNATIONAL DRIVE LLC,Centersquare,IAD2-A,BUILT,121008,,Dominion (VEPCO),unambiguous_near_boundary,,124,yes (air permit),DEQ 74109 [operating],034468458000,ZRTD-2011-0003,-77.424031,38.984171
loudoun_existing,Loudoun County,DULLES INTERNATIONAL,CyrusOne,osm_tag,C1 NORTHERN VIRGINIA - STERLING IV LLC,CyrusOne,CyrusOne Northern Virginia Sterling IV,BUILT,128521,,Dominion (VEPCO),unambiguous,,289,yes (air permit),DEQ 74109 [operating],034462865000,ZRTD-2011-0003,-77.425826,38.984666
loudoun_existing,Loudoun County,DIGITAL LOUDOUN IV,Digital Realty,matched,DIGITAL LOUDOUN IV LLC,Digital Realty,IAD43,BUILT,788982,,Dominion (VEPCO),unambiguous,,2583,,,044370416000,ZRTD-2017-0005,-77.452958,39.004549
loudoun_existing,Loudoun County,BEAUMEADE,COPT,matched_osm_differs,BCORE COPT DC-15 LLC,Amazon Web Services,IAD79,BUILT,447228,,Dominion (VEPCO),unambiguous,,4661,yes (air permit),DEQ 73954 [operating],060307119000,ZRTD-2011-0007,-77.451147,39.02639
loudoun_existing,Loudoun County,ST JOHN & BEAUMEADE,Amazon Web Services,osm_tag,BEAUMEADE LC PHASE III LLC,Amazon Web Services,IAD115,BUILT,147615,,Dominion (VEPCO),unambiguous,,3918,yes (air permit),DEQ 74150 [operating],041352218000,,-77.449786,39.036371
loudoun_existing,Loudoun County,ST JOHN & BEAUMEADE,Amazon Web Services,osm_tag,BEAUMEADE LC PHASE III LLC,Amazon Web Services,IAD114,BUILT,147615,,Dominion (VEPCO),unambiguous,,4014,yes (air permit),DEQ 74150 [operating],059309091000,,-77.450934,39.035622
loudoun_existing,Loudoun County,BEAUMEADE,Equinix,matched,EQUINIX RP II LLC,Equinix,DC12,BUILT,1323762,,Dominion (VEPCO),unambiguous,,4403,yes (air permit),DEQ 74290 [planned],060209652000,ZRTD-2015-0003,-77.450459,39.023324
loudoun_existing,Loudoun County,CYRUSONE,CyrusOne,matched,C1 NORTHERN VIRGINIA - STERLING IX LLC,CyrusOne,,BUILT/UNDER CONSTRUCTION,691656,,NOVEC (co-op),unambiguous,,1506,yes (air permit),DEQ 74173 [operating],124369522000,,-77.505083,38.95866
loudoun_existing,Loudoun County,DUPONT FABROS 1,Digital Realty,matched,BLUE SLING ACC 9 LLC,Digital Realty,ACC9,BUILT,362108,,Dominion (VEPCO),unambiguous,,2955,yes (air permit),DEQ 74120 [operating],061361948000,ZMAP-1998-0003,-77.467576,39.015484
loudoun_existing,Loudoun County,DUPONT FABROS 1,Digital Realty,matched,BLUE SLING ACC 10 LLC,Digital Realty,ACC10,BUILT,318143,,Dominion (VEPCO),unambiguous,,2773,yes (air permit),DEQ 74155 [operating],061268762000,ZMAP-1998-0003,-77.466014,39.013268
loudoun_existing,Loudoun County,PARAGON PARK,COPT,matched_osm_differs,BCORE COPT DC-21 LLC,Amazon Web Services,IAD99,BUILT,296380,,Dominion (VEPCO),unambiguous,,4767,,,042197707000,ZRTD-2016-0012,-77.434,39.019449
loudoun_existing,Loudoun County,TALL OAKS,CyrusOne,osm_tag,C1 NORTHERN VIRGINIA - STERLING VIII LLC,CyrusOne,NVA8,BUILT,154125,,Dominion (VEPCO),unambiguous,,4873,yes (air permit),DEQ 74164 [operating],030296913000,ZRTD-2016-0010,-77.413351,39.021227
loudoun_existing,Loudoun County,TALL OAKS,Amazon Web Services,osm_tag,MARIES TECH PARK LLC,Amazon Web Services,IAD117,BUILT,426710,,Dominion (VEPCO),unambiguous,,4666,yes (air permit),DEQ 74170 [operating],030382006000,ZRTD-2017-0009,-77.4195,39.023985
loudoun_existing,Loudoun County,TRANSDULLES,Amazon (AWS),matched,AMAZON DATA SERVICES INC,Amazon Web Services,IAD91,BUILT,437160,,Dominion (VEPCO),unambiguous_near_boundary,,41,yes (air permit),DEQ 74121 [operating],033201325000,,-77.410855,38.987746
loudoun_existing,Loudoun County,JK CORPORATE CAMPUS,Amazon Web Services,osm_tag,DULLES NCP LLC,Amazon Web Services,IAD145,BUILT,203200,,Dominion (VEPCO),unambiguous_near_boundary,,142,yes (air permit),DEQ 74153 [operating],034365461000,ZRTD-2018-0002,-77.424868,38.982382
loudoun_existing,Loudoun County,BROAD RUN TECHNOLOGY PARK,GI Partners,osm_tag,GI TC LOUDOUN LLC,GI Partners,,BUILT,234125,,Dominion (VEPCO),unambiguous,,2382,yes (air permit),DEQ 74156 [operating],044282013000,ZRTD-2017-0010,-77.439853,39.000596
loudoun_existing,Loudoun County,,Amazon Web Services,osm_tag,ML-AI QCC OWNER LLC,Amazon Web Services,IAD151,BUILT,508026,,Dominion (VEPCO),unambiguous,,356,yes (air permit),DEQ 74174 [operating],097398776000,ZMAP-2017-0004,-77.478351,38.916296
loudoun_existing,Loudoun County,PROLOGIS PARK GATEWAY - RT 606,Prologis,matched_osm_differs,PROLOGIS-EXCHANGE 43461 OLD OX ROAD LLC,Amazon Web Services,IAD121,BUILT,474570,,NOVEC (co-op),unambiguous,,1290,yes (air permit),DEQ 74205 [operating],124299328000,ZMAP-1986-0500,-77.497507,38.956936
loudoun_existing,Loudoun County,QUANTUM PARK (VERIZON CAMPUS),Aligned,matched,ALIGNED ENERGY DATA CENTERS IAD PROPCO LLC,Aligned,,BUILT,443260,,Dominion (VEPCO),unambiguous,,2237,,,088101859000,ZMAP-1998-0003,-77.474972,39.010247
loudoun_existing,Loudoun County,QUANTUM PARK (VERIZON CAMPUS),Aligned,matched,ALIGNED ENERGY DATA CENTERS (ASHBURN)\ PROPCO LLC,Aligned,IAD-01,BUILT,368325,,Dominion (VEPCO),unambiguous,,2728,yes (air permit),DEQ 74120 [operating],061355894000,ZMAP-1998-0003,-77.469971,39.013928
loudoun_existing,Loudoun County,QUAIL RIDGE,Amazon (AWS),matched,AMAZON DATA SERVICES INC,Amazon Web Services,IAD124,BUILT,408026,,NOVEC (co-op),unambiguous,,454,yes (air permit),DEQ 74274 [planned],246200886000,ZMAP-2005-0036,-77.560434,38.949042
loudoun_existing,Loudoun County,QUAIL RIDGE,Amazon (AWS),matched_osm_differs,AMAZON DATA SERVICES INC,Microsoft,,UNDER CONSTRUCTION,505200,,NOVEC (co-op),unambiguous,,615,yes (air permit),DEQ 74274 [planned],246203645000,ZMAP-2005-0036,-77.558605,38.949387
loudoun_existing,Loudoun County,LOUDOUN CENTER - WORLDCOM/UUNET,CloudHQ,osm_tag,LOHRASP VENTURES LLC,CloudHQ,LC3,BUILT,585593,,Dominion (VEPCO),unambiguous,,2837,yes (air permit),DEQ 74308 [planned],061285496000,ZRTD-2018-0001,-77.459607,39.011146
loudoun_existing,Loudoun County,DIGITAL LOUDOUN III (DIGITIAL REALITY CAMPUS 2),Digital Realty,matched,DIGITAL LOUDOUN 3 LLC,Digital Realty,IAD41,BUILT,789350,,Dominion (VEPCO),unambiguous,,2683,yes (air permit),DEQ 74189 [operating],062493798000,ZRTD-2017-0005,-77.45797,39.008362
loudoun_existing,Loudoun County,ASHBURN NEXUS/PROJECT VIPER,Vantage,matched,VANTAGE DATA CENTERS VA11 LLC,Vantage Data Centers,VA11,BUILT,484862,,Dominion (VEPCO),unambiguous,,2395,yes (air permit),DEQ 74162 [operating],044288975000,ZRTD-2017-0010,-77.437379,39.002127
loudoun_existing,Loudoun County,COMMONWEALTH CENTER,Visa (enterprise),matched,VISA USA INC,,,BUILT,365855,,Dominion (VEPCO),unambiguous,,2460,,,040464286000,ZRTD-2014-0006,-77.44557,39.049199
loudoun_existing,Loudoun County,LOUDOUN CENTER - WORLDCOM/UUNET,CloudHQ,osm_tag,KAVEH VENTURES LLC,CloudHQ,LC2,BUILT,499438,,Dominion (VEPCO),unambiguous,,2778,yes (air permit),DEQ 74155 [operating],061275931000,ZMAP-1998-0003,-77.462912,39.012139
loudoun_existing,Loudoun County,JK CORPORATE CAMPUS,Amazon Web Services,osm_tag,DULLES NCP II LLC,Amazon Web Services,IAD175,BUILT,169960,,Dominion (VEPCO),unambiguous_near_boundary,,118,yes (air permit),DEQ 74153 [operating],034263373000,ZRTD-2011-0003,-77.425642,38.979983
loudoun_existing,Loudoun County,JK CORPORATE CAMPUS,Amazon Web Services,osm_tag,DULLES NCP LLC,Amazon Web Services,IAD144,BUILT,147890,,Dominion (VEPCO),unambiguous,,353,yes (air permit),DEQ 74153 [operating],034357851000,ZRTD-2011-0003,-77.427524,38.982137
loudoun_existing,Loudoun County,HIGHPOINT,Amazon Web Services,osm_tag,22350 KIPPER (VA) LLC,Amazon Web Services,IAD147,BUILT,203460,,Dominion (VEPCO),unambiguous,,1651,yes (air permit),DEQ 74264 [operating],045494813000,ZMAP-2016-0022,-77.435415,38.994907
loudoun_existing,Loudoun County,HIGHPOINT,Amazon Web Services,osm_tag,22350 KIPPER VA LLC,Amazon Web Services,IAD146,BUILT,214360,,Dominion (VEPCO),unambiguous,,1848,yes (air permit),DEQ 74181 [operating],044193385000,ZMAP-2016-0022,-77.435916,38.996894
loudoun_existing,Loudoun County,DUPONT FABROS 1,Digital Realty,matched_osm_differs,,CloudHQ,LC1,BUILT,984055,,Dominion (VEPCO),unambiguous,,2584,yes (air permit),DEQ 74155 [operating],061177666000,ZMAP-1998-0003,-77.462736,39.010027
loudoun_existing,Loudoun County,WATERSIDE NORTH,Amazon Web Services,osm_tag,WATERSIDE I LLC,Amazon Web Services,IAD140,BUILT,976046,,NOVEC (co-op),unambiguous,,293,yes (air permit),DEQ 74184 [operating],034385918000,ZMAP-2018-0011,-77.417902,38.981306
loudoun_existing,Loudoun County,BROAD RUN TECHNOLOGY PARK,Amazon Web Services,osm_tag,FR RANDOLPH DRIVE LLC,Amazon Web Services,IAD76,BUILT,143797,,Dominion (VEPCO),unambiguous,,1628,yes (air permit),DEQ 73757 [operating],045352692000,ZRTD-2012-0006,-77.450231,38.994053
loudoun_existing,Loudoun County,FOUR CORNERS,QTS,matched_osm_differs,QTS DULLES LLC,Quality Technology Services,,BUILT,64669,,Dominion (VEPCO),unambiguous,,1773,yes (air permit),DEQ 73757 [operating],045458114000,ZMAP-2011-0002,-77.44815,38.994437
loudoun_existing,Loudoun County,PROJECT SAMUEL,QTS,matched_osm_differs,"QTS SHELLHORN, LLC",Quality Technology Services,,BUILT,256348,,Dominion (VEPCO),unambiguous,,1000,yes (air permit),DEQ 74214 [operating],089104437000,ZMAP-1990-0015,-77.474195,38.998659
loudoun_existing,Loudoun County,PROJECT SAMUEL,QTS,matched_osm_differs,"QTS SHELLHORN, LLC",Quality Technology Services,,BUILT,310717,,Dominion (VEPCO),unambiguous,,951,yes (air permit),DEQ 74214 [operating],089100937000,ZMAP-1990-0015,-77.475446,38.998537
loudoun_existing,Loudoun County,BEAUMEADE,Amazon Web Services,osm_tag,BEAUMEADE DC BUILDING LLC,Amazon Web Services,IAD-169,BUILT,190250,,Dominion (VEPCO),unambiguous,,3748,yes (air permit),DEQ 74244 [operating],061407107000,ZRTD-2019-0007,-77.451887,39.016872
loudoun_existing,Loudoun County,BEAUMEADE,Amazon Web Services,osm_tag,BEAUMEADE DC BUILDING LLC,Amazon Web Services,IAD-179,BUILT,190250,,Dominion (VEPCO),unambiguous,,3584,yes (air permit),DEQ 74244 [operating],061303369000,ZRTD-2019-0007,-77.453239,39.015829
loudoun_existing,Loudoun County,BEAUMEADE,PowerHouse,osm_tag,AREP BEAUMEADE LLC,PowerHouse,ABX-1,BUILT,247420,,Dominion (VEPCO),unambiguous,,4090,yes (air permit),DEQ 74290 [planned],042152579000,ZRTD-2017-0012,-77.450147,39.019712
loudoun_existing,Loudoun County,ICSP @ ARCOLA,Amazon (AWS),matched,AMAZON DATA SERVICES INC,Amazon Web Services,IAD68,BUILT,710921,,NOVEC (co-op),unambiguous,,190,yes (air permit),DEQ 74085 [operating],162392026000,,-77.521473,38.948948
loudoun_existing,Loudoun County,COMPASS CREEK,Microsoft,matched,MICROSOFT CORP,,,BUILT/UNDER CONSTRUCTION,1289688,,NOVEC (co-op),unambiguous,,1681,,,235297431000,,-77.560169,39.067812
loudoun_existing,Loudoun County,ARCOLA CENTER,Google,osm_tag,WHEELER SURVEY COMPANY LLC,Google,ARA2,BUILT/UNDER CONSTRUCTION,923505,,Dominion (VEPCO),unambiguous,,593,,,162176713000,ZMAP-2016-0013,-77.528453,38.942759
loudoun_existing,Loudoun County,PARAGON PARK,Amazon Web Services,osm_tag,CABIN BRANCH CREEK LLC,Amazon Web Services,IAD118,BUILT,685682,,Dominion (VEPCO),unambiguous,,4419,,,043482656000,ZRTD-2016-0012,-77.439377,39.018108
loudoun_existing,Loudoun County,BROAD RUN TECHNOLOGY PARK,Stack Infrastructure,osm_tag,"SI NVA01, LLC",Stack Infrastructure,NVA01A,BUILT,180039,,Dominion (VEPCO),unambiguous,,2841,yes (air permit),DEQ 74079 [operating],044261032000,ZMAP-2008-0011,-77.441968,39.004523
loudoun_existing,Loudoun County,DIGITAL STERLING PREMEIRE,Amazon Web Services,osm_tag,DIGITAL STERLING PREMIER LLC,Amazon Web Services,IAD192,BUILT,258200,,Dominion (VEPCO),unambiguous,,1178,yes (air permit),DEQ 74287 [planned],045299249000,ZRTD-2019-0006,-77.434718,38.989686
loudoun_existing,Loudoun County,WEST DULLES STATION,QTS,matched_osm_differs,QTS LOCKRIDGE DC2 LLC,Quality Technology Services,,BUILT,274450,,Dominion (VEPCO),unambiguous,,1484,yes (air permit),DEQ 74335 [planned],063494014000,ZRTD-2016-0002,-77.456792,38.995138
loudoun_existing,Loudoun County,WEST DULLES STATION,Quality Technology Services,osm_tag,ASHBURN ACQUISITION CO II LLC,Quality Technology Services,,BUILT,308630,,Dominion (VEPCO),unambiguous,,1597,yes (air permit),DEQ 74335 [planned],063498140000,ZRTD-2016-0002,-77.455347,38.995843
loudoun_existing,Loudoun County,BROAD RUN TECHNOLOGY PARK,Vantage,matched,VANTAGE DATA CENTERS VA13 LLC,Vantage Data Centers,VA13,BUILT,729298,,Dominion (VEPCO),unambiguous,,2613,yes (air permit),DEQ 74162 [operating],044381108000,ZRTD-2017-0010,-77.440098,39.003045
loudoun_existing,Loudoun County,COMPASS CREEK,SI NVA06B LLC,unresolved,SI NVA06B LLC,,,BUILT/UNDER CONSTRUCTION,621036,,NOVEC (co-op),unambiguous,,663,yes (air permit),DEQ 74269 [operating],234371847000,,-77.565266,39.080866
loudoun_existing,Loudoun County,LOUDOUN GATEWAY CENTER,Amazon (AWS),matched,AMAZON DATA SERVICES INC,Amazon Web Services,IAD214,BUILT,226456,,Dominion (VEPCO),unambiguous,,847,yes (air permit),DEQ 74287 [planned],045195615000,ZRTD-2018-0008,-77.435243,38.986716
loudoun_existing,Loudoun County,BROAD RUN BUSINESS CENTER,QTS,matched_osm_differs,QTS INVESTMENT PROPERTIES ASHBURN LLC,Quality Technology Services,DC1,BUILT,427337,,Dominion (VEPCO),unambiguous,,2154,,,044152877000,ZRTD-2016-0004,-77.450129,38.999541
loudoun_existing,Loudoun County,ICSP @ EASTGATE,Amazon (AWS),matched,"AMAZON DATA SERVICES, INC",Amazon Web Services,IAD63,BUILT,629505,,NOVEC (co-op),unambiguous_near_boundary,,13,yes (air permit),DEQ 74080 [operating],097354183000,,-77.493192,38.916589
loudoun_existing,Loudoun County,EDGECORE DULLES,EdgeCore,matched_osm_differs,MECP1 ASHBURN 1 LLC,Amazon Web Services,IAD174,BUILT,258716,,Dominion (VEPCO),unambiguous,,4250,yes (air permit),DEQ 74227 [operating],030455548000,ZMAP-2007-0001,-77.427605,39.028748
loudoun_existing,Loudoun County,EDGECORE DULLES,EdgeCore,matched_osm_differs,MECP2 ASHBURN 2 LLC,Amazon Web Services,IAD164,BUILT,258716,,Dominion (VEPCO),unambiguous,,4087,yes (air permit),DEQ 74227 [operating],029151508000,ZMAP-2007-0001,-77.429003,39.030404
loudoun_existing,Loudoun County,EDGECORE DULLES,EdgeCore,matched_osm_differs,MECP3 ASHBURN 3 LLC,Amazon Web Services,IAD163,BUILT,258716,,Dominion (VEPCO),unambiguous,,3925,yes (air permit),DEQ 74227 [operating],041108666000,ZMAP-2007-0001,-77.430026,39.032017
loudoun_existing,Loudoun County,BEAUMEADE,H5 Data Centers,osm_tag,ASHBURN DATA PROPERTY OWNER LP,H5 Data Centers,Ashburn,UNDER CONSTRUCTION,210170,,Dominion (VEPCO),unambiguous,,3485,yes (air permit),DEQ 74276 [planned],061307791000,ZRTD-2011-0004,-77.45172,39.013689
loudoun_existing,Loudoun County,ARCOLA BUSINESS PARK,Microsoft,matched,MICROSOFT CORP,Microsoft,,BUILT,735117,,NOVEC (co-op),unambiguous,,835,yes (air permit),DEQ 74274 [planned],203354208000,ZMAP-2005-0036,-77.555808,38.949247
loudoun_existing,Loudoun County,LOUDOUN TECH CENTER,CyrusOne,osm_tag,,CyrusOne,NVA1;NVA2;NVA3,BUILT,464430,,Dominion (VEPCO),unambiguous,,4355,yes (air permit),DEQ 74086 [operating],030393965000,ZRTD-2014-0001,-77.41453,39.026057
loudoun_existing,Loudoun County,VANTAGE DATA CENTER - STERLING,Vantage,matched,VANTAGE DATA CENTERS VA2 LLC,Vantage Data Centers,VA2,BUILT,550453,,Dominion (VEPCO),unambiguous,,1619,yes (air permit),DEQ 74242 [operating],032155119000,ZMAP-2022-0007,-77.429655,38.997634
loudoun_existing,Loudoun County,TRUE NORTH,Compass,matched_osm_differs,COMPASS DATACENTERS IAD I LLC,True North Data Solutions,,BULT/UNDER CONSTRUCTION,547475,,NOVEC (co-op),unambiguous,,572,yes (air permit),DEQ 74160 [operating],194103673000,ZMAP-2017-0003,-77.537598,39.043813
loudoun_existing,Loudoun County,STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST),NOVA BUILDING 2 LLC,unresolved,NOVA BUILDING 2 LLC,,,UNDER CONSTRUCTION,413099,,NOVEC (co-op),unambiguous,,1594,yes (air permit),DEQ 74301 [operating],193274995000,ZMAP-2008-0017,-77.54717,39.055771
loudoun_existing,Loudoun County,STONEWALL SECURE BUSINESS PARK (LOUDOUN WEST),NOVA BUILDING 1 LLC,unresolved,NOVA BUILDING 1 LLC,,,BUILT,414253,,NOVEC (co-op),unambiguous,,1648,yes (air permit),DEQ 74301 [operating],193276668000,ZMAP-2008-0017,-77.546555,39.057792
loudoun_existing,Loudoun County,,Vantage Data Centers,osm_tag,,Vantage Data Centers,VA12,UNDER CONSTRUCTION,182782,,Dominion (VEPCO),unambiguous,,2204,yes (air permit),DEQ 74181 [operating],044292829000,ZRTD-2017-0010,-77.436435,39.000539
loudoun_existing,Loudoun County,BROAD RUN TECHNOLOGY PARK,Vantage,matched_osm_differs,VANTAGE DATA CENTERS VA16 LLC,GI Partners,,UNDER CONSTRUCTION,255935,,Dominion (VEPCO),unambiguous,,2241,yes (air permit),DEQ 74156 [operating],044175589000,ZRTD-2023-0001,-77.441568,38.999045
loudoun_existing,Loudoun County,DIGITAL DULLES,Digital Realty,osm_tag,DIGITAL WL 2834 LLC,Digital Realty,IAD44,BUILT/UNDER CONSTRUCTION,2603391,,NOVEC (co-op),unambiguous,,1831,,,093365404000,,-77.491683,38.960832
