provider_id,holding_company,technology_code,technology_code_desc,location_count_res,unit_count_res,location_count_bus,unit_count_bus
130106,Beehive Telephone Companies,50,Fiber to the Premises,155865,185563,155865,185563
130106,Beehive Telephone Companies,70,Unlicensed Fixed Wireless,24915,27453,24915,27453
130107,"Beggs Telephone Company, Inc.",10,Copper,1133,1142,140,143
130107,"Beggs Telephone Company, Inc.",50,Fiber to the Premises,780,797,151,164
130108,BEK Communications Cooperative,50,Fiber to the Premises,18829,20280,18829,20280
130112,"Ben Lomand Rural Telephone Coop., Inc.",10,Copper,2290,3444,427,854
130112,"Ben Lomand Rural Telephone Coop., Inc.",50,Fiber to the Premises,65387,69666,8617,11637
130114,BW Telcom,50,Fiber to the Premises,2228,2258,2228,2258
130115,Benton Cooperative Telephone Company,10,Copper,23,23,23,23
130115,Benton Cooperative Telephone Company,40,Cable,1012,1339,1012,1339
130115,Benton Cooperative Telephone Company,50,Fiber to the Premises,10193,10871,10193,10871
130116,Benton Ridge Telephone Company,50,Fiber to the Premises,9248,11103,9236,11068
130116,Benton Ridge Telephone Company,70,Unlicensed Fixed Wireless,331260,380426,331260,380426
130116,Benton Ridge Telephone Company,71,Licensed Fixed Wireless,553812,640723,553812,640723
130116,Benton Ridge Telephone Company,72,LBR Fixed Wireless,160344,188632,160338,188625
130118,Beresford Municipal Telephone Company,50,Fiber to the Premises,1041,1279,1041,1279
130119,Bergen Telephone Company,50,Fiber to the Premises,208,209,208,209
130120,"Bernard Telephone Company, Inc.",50,Fiber to the Premises,1430,1467,1430,1467
130120,"Bernard Telephone Company, Inc.",70,Unlicensed Fixed Wireless,3827,4180,3827,4180
130122,Biddeford Internet Corporation,10,Copper,0,0,178,1216
130122,Biddeford Internet Corporation,50,Fiber to the Premises,1927,2361,2504,4882
130123,"Nevill Holdings, Inc.",10,Copper,193,194,193,194
130123,"Nevill Holdings, Inc.",40,Cable,6714,8117,6714,8117
130123,"Nevill Holdings, Inc.",50,Fiber to the Premises,10452,11938,10452,11938
130123,"Nevill Holdings, Inc.",60,GSO Satellite,813,827,813,827
130123,"Nevill Holdings, Inc.",70,Unlicensed Fixed Wireless,1521,1613,1521,1613
130123,"Nevill Holdings, Inc.",71,Licensed Fixed Wireless,23986,26798,23986,26798
130123,"Nevill Holdings, Inc.",72,LBR Fixed Wireless,1816,1928,1816,1928
130124,"Big River Telephone, LLC",50,Fiber to the Premises,19198,22314,1382,2406
130124,"Big River Telephone, LLC",70,Unlicensed Fixed Wireless,96059,108342,8711,12714
130126,Bijou Telephone Cooperative Association Inc.,10,Copper,38,39,38,39
130126,Bijou Telephone Cooperative Association Inc.,50,Fiber to the Premises,1909,1958,1909,1958
130126,Bijou Telephone Cooperative Association Inc.,70,Unlicensed Fixed Wireless,1534,1676,1534,1676
130130,Bixby Telephone Company,10,Copper,6415,8455,515,770
130130,Bixby Telephone Company,50,Fiber to the Premises,10511,15828,2883,5949
130132,"Blackfoot Telephone Cooperative, Inc.",10,Copper,26966,33730,26966,33730
130132,"Blackfoot Telephone Cooperative, Inc.",50,Fiber to the Premises,22880,37873,22880,37873
130132,"Blackfoot Telephone Cooperative, Inc.",70,Unlicensed Fixed Wireless,562,808,562,808
130132,"Blackfoot Telephone Cooperative, Inc.",71,Licensed Fixed Wireless,39,110,39,110
130133,Blanca Telephone Company/Jade Communications LLC,50,Fiber to the Premises,10209,11326,10209,11326
130133,Blanca Telephone Company/Jade Communications LLC,70,Unlicensed Fixed Wireless,3981,4199,3981,4199
130133,Blanca Telephone Company/Jade Communications LLC,71,Licensed Fixed Wireless,7259,8436,7259,8436
130133,Blanca Telephone Company/Jade Communications LLC,72,LBR Fixed Wireless,84,90,84,90
130134,"Blanchard Telephone Association, Inc.",10,Copper,1434,1521,1434,1521
130134,"Blanchard Telephone Association, Inc.",50,Fiber to the Premises,259,281,259,281
130136,Bledsoe Telephone Cooperative Inc.,10,Copper,14435,14517,14435,14517
130136,Bledsoe Telephone Cooperative Inc.,50,Fiber to the Premises,14305,14387,14305,14387
130137,"Block Communications, Inc.",10,Copper,2,2,2,2
130137,"Block Communications, Inc.",40,Cable,209201,297899,209200,297898
130137,"Block Communications, Inc.",50,Fiber to the Premises,157463,205928,160490,212710
130138,Bloomer Telephone Company,50,Fiber to the Premises,6123,7172,6123,7172
130139,Bloomingdale Home Telephone Company,10,Copper,315,315,102,102
130139,Bloomingdale Home Telephone Company,50,Fiber to the Premises,1746,1921,470,499
130140,"Bloomingdale Telephone Company, Inc.",50,Fiber to the Premises,9683,10372,9683,10372
130141,"Blossom Telephone Co., Inc.",10,Copper,452,485,452,485
130141,"Blossom Telephone Co., Inc.",50,Fiber to the Premises,1712,1915,1712,1915
130142,Rural Communications Holding Corporation,10,Copper,2604,2770,2604,2770
130142,Rural Communications Holding Corporation,50,Fiber to the Premises,28900,31496,28900,31496
130144,"Blue Valley Tele-Communications, Inc.",40,Cable,1772,1839,1772,1839
130144,"Blue Valley Tele-Communications, Inc.",50,Fiber to the Premises,8719,9104,8719,9104
130144,"Blue Valley Tele-Communications, Inc.",70,Unlicensed Fixed Wireless,292,293,292,293
130148,Colonial Telephone Company,10,Copper,1451,1536,1451,1536
130150,Brandenburg Communications Corp.,10,Copper,522,900,522,900
130150,Brandenburg Communications Corp.,50,Fiber to the Premises,54671,68602,54671,68602
130151,"Strickland Communications, Inc.",50,Fiber to the Premises,11099,12419,11099,12419
130152,Brazoria Telephone Company,10,Copper,1381,1538,1381,1538
130152,Brazoria Telephone Company,40,Cable,5631,5983,5631,5983
130152,Brazoria Telephone Company,50,Fiber to the Premises,6584,7193,6584,7193
130153,"Brazos Telephone Cooperative, Inc.",10,Copper,162,171,162,171
130153,"Brazos Telephone Cooperative, Inc.",50,Fiber to the Premises,9390,10083,9390,10083
130154,Breda Telephone Corp.,50,Fiber to the Premises,21655,22966,21655,22966
130160,Bristol Bay Telephone Cooperative,10,Copper,1341,1348,1341,1348
130161,Broadband Corp.,50,Fiber to the Premises,13184,14391,13184,14391
130161,Broadband Corp.,72,LBR Fixed Wireless,16887,19219,16887,19219
130169,Brooklyn Mutual Telecommunications Cooperative,10,Copper,404,404,0,0
130169,Brooklyn Mutual Telecommunications Cooperative,50,Fiber to the Premises,1092,1169,78,84
130170,"Bruce Telephone Company, Inc.",10,Copper,403,519,403,519
130170,"Bruce Telephone Company, Inc.",50,Fiber to the Premises,1773,1918,1773,1918
130171,Bryan Family Inc.,10,Copper,41,46,41,46
130171,Bryan Family Inc.,50,Fiber to the Premises,78,78,78,78
130176,"Bulloch County Rural Telephone Cooperative, Inc.",50,Fiber to the Premises,17833,21991,17832,21990
130178,"Burke's Garden Telephone Co., Inc.",50,Fiber to the Premises,226,230,226,230
130179,Butler-Bremer Mutual Telephone Company,50,Fiber to the Premises,9571,10030,9571,10030
130183,"Cable One, Inc.",10,Copper,64055,84427,64055,84427
130183,"Cable One, Inc.",40,Cable,2092486,2585354,2092486,2585354
130183,"Cable One, Inc.",50,Fiber to the Premises,232411,295605,232411,295605
130183,"Cable One, Inc.",70,Unlicensed Fixed Wireless,6228,6678,6228,6678
130184,"Cable Services, Inc.",40,Cable,8482,11650,8482,11650
130189,Calaveras Communications Company,10,Copper,2770,2935,2758,2921
130189,Calaveras Communications Company,50,Fiber to the Premises,1723,2310,1710,2291
130189,Calaveras Communications Company,70,Unlicensed Fixed Wireless,648,740,645,737
130192,"Cambridge TelCom, Inc.",10,Copper,1777,1819,1777,1819
130192,"Cambridge TelCom, Inc.",50,Fiber to the Premises,5209,5517,5209,5517
130192,"Cambridge TelCom, Inc.",71,Licensed Fixed Wireless,1367,1404,1367,1404
130193,"Cambridge Telephone Company, Inc.",10,Copper,785,788,96,98
130193,"Cambridge Telephone Company, Inc.",50,Fiber to the Premises,1731,1764,255,282
130193,"Cambridge Telephone Company, Inc.",70,Unlicensed Fixed Wireless,2349,3261,323,989
130193,"Cambridge Telephone Company, Inc.",71,Licensed Fixed Wireless,4,4,2,2
130193,"Cambridge Telephone Company, Inc.",72,LBR Fixed Wireless,48,50,1,1
130195,Canadian Valley Telephone Company,10,Copper,1888,1914,1888,1914
130195,Canadian Valley Telephone Company,50,Fiber to the Premises,20,22,20,22
130196,Canby Telephone Association,10,Copper,61,180,61,180
130196,Canby Telephone Association,50,Fiber to the Premises,10677,12988,10677,12988
130199,"Cap Rock Telephone Cooperative, Inc.",50,Fiber to the Premises,7018,7484,7018,7484
130201,Carnegie Telephone Company,10,Copper,1791,1796,1791,1796
130201,Carnegie Telephone Company,50,Fiber to the Premises,3313,3326,3313,3326
130201,Carnegie Telephone Company,70,Unlicensed Fixed Wireless,123,123,123,123
130201,Carnegie Telephone Company,72,LBR Fixed Wireless,4359,4371,4359,4371
130203,"Carr Communications, Inc.",10,Copper,3327,3637,3327,3637
130203,"Carr Communications, Inc.",50,Fiber to the Premises,475,549,475,549
130204,Cascade Communications Company,50,Fiber to the Premises,3997,4439,3997,4439
130206,Day Management Corporation,10,Copper,11778,14755,11778,14755
130206,Day Management Corporation,50,Fiber to the Premises,22749,27052,22749,27052
130207,Casey Mutual Telephone Company,10,Copper,139,142,139,142
130207,Casey Mutual Telephone Company,50,Fiber to the Premises,627,634,627,634
130208,"Cass Communications Management, Inc.",40,Cable,4962,5385,4962,5385
130208,"Cass Communications Management, Inc.",50,Fiber to the Premises,30424,32678,30708,33166
130208,"Cass Communications Management, Inc.",70,Unlicensed Fixed Wireless,2989,3307,2989,3307
130208,"Cass Communications Management, Inc.",71,Licensed Fixed Wireless,8620,8980,8620,8980
130210,Castleberry Communications,10,Copper,1168,1224,1168,1224
130218,Cedar Falls Municipal Communications Utility,50,Fiber to the Premises,15183,19661,15183,19661
130223,"Center Junction Telephone Company, Inc.",50,Fiber to the Premises,178,178,178,178
130224,"Central Arkansas Telephone Cooperative, Inc.",50,Fiber to the Premises,5227,5371,5227,5371
130226,"Central Oklahoma Telephone Co., LLC",10,Copper,2089,2133,2089,2133
130226,"Central Oklahoma Telephone Co., LLC",50,Fiber to the Premises,4229,4293,4229,4293
130227,"Central Texas Telephone Cooperative, Inc.",10,Copper,859,874,859,874
130227,"Central Texas Telephone Cooperative, Inc.",50,Fiber to the Premises,12016,12511,12016,12511
130228,"Lumen Technologies, Inc.",10,Copper,9916419,13848531,9916389,13848482
130228,"Lumen Technologies, Inc.",50,Fiber to the Premises,3157729,4104598,3157726,4104595
130233,Chapin Communications Corporation,10,Copper,4459,5271,4459,5271
130233,Chapin Communications Corporation,50,Fiber to the Premises,2876,3221,2876,3221
130234,Chariton Valley Telephone Corporation,50,Fiber to the Premises,30581,32687,5396,6661
130235,Charter Communications,40,Cable,33900003,48602468,34979468,50717789
130235,Charter Communications,50,Fiber to the Premises,2284620,3781020,2618587,4626667
130238,Chazy & Westport Telephone Corp.,10,Copper,170,179,170,179
130238,Chazy & Westport Telephone Corp.,50,Fiber to the Premises,3636,4029,3636,4029
130239,"Chequamegon Communications Cooperative, Inc.",10,Copper,2126,2732,439,912
130239,"Chequamegon Communications Cooperative, Inc.",50,Fiber to the Premises,20970,23923,3144,4491
130240,Cherokee Telephone Company,10,Copper,6004,6433,6004,6433
130240,Cherokee Telephone Company,50,Fiber to the Premises,775,846,775,846
130242,"TruVista Communications, Inc.",10,Copper,3928,3973,468,496
130242,"TruVista Communications, Inc.",40,Cable,32137,36317,3682,6328
130242,"TruVista Communications, Inc.",50,Fiber to the Premises,40208,42250,3372,4574
130243,Cheyenne River Sioux Tribe Telephone Authority,50,Fiber to the Premises,3363,3574,3363,3574
130244,"Chibardun Telephone Cooperative, Inc.",10,Copper,4868,6578,4868,6578
130244,"Chibardun Telephone Cooperative, Inc.",50,Fiber to the Premises,17482,19554,17482,19554
130245,Chickasaw Holding Company,10,Copper,18794,25318,17780,24294
130245,Chickasaw Holding Company,50,Fiber to the Premises,6037,6313,6037,6313
130250,Christensen Communications Company,10,Copper,315,325,315,325
130250,Christensen Communications Company,50,Fiber to the Premises,1484,1631,1484,1631
130250,Christensen Communications Company,71,Licensed Fixed Wireless,2514,2601,2514,2601
130252,"Churchill County, State of Nevada",10,Copper,676,858,676,858
130252,"Churchill County, State of Nevada",50,Fiber to the Premises,12427,14046,12427,14046
130254,Cincinnati Bell Inc.,10,Copper,54540,268434,54540,268434
130254,Cincinnati Bell Inc.,40,Cable,8,21,0,0
130254,Cincinnati Bell Inc.,50,Fiber to the Premises,953587,1243934,939754,1225377
130254,Cincinnati Bell Inc.,70,Unlicensed Fixed Wireless,113,131,39,113
130254,Cincinnati Bell Inc.,71,Licensed Fixed Wireless,6433,6588,756,770
130254,Cincinnati Bell Inc.,72,LBR Fixed Wireless,127831,135192,16190,17766
130258,Frontier Communications Corporation,10,Copper,2123118,2788219,238513,711622
130258,Frontier Communications Corporation,50,Fiber to the Premises,6545954,7547263,236427,619147
130259,Citizens Mutual Telephone Cooperative,50,Fiber to the Premises,10770,11065,10770,11065
130263,Green Hills Telephone Corporation,10,Copper,5149,5367,5149,5367
130263,Green Hills Telephone Corporation,40,Cable,5621,6144,5621,6144
130263,Green Hills Telephone Corporation,50,Fiber to the Premises,8255,8808,8255,8808
130263,Green Hills Telephone Corporation,71,Licensed Fixed Wireless,147,150,147,150
130264,Citizens Telephone Company of Kecksburg,50,Fiber to the Premises,12627,15020,12627,15020
130265,Citizens Mutual Telephone Cooperative (GA),10,Copper,1972,1996,1972,1996
130265,Citizens Mutual Telephone Cooperative (GA),40,Cable,1298,1345,1298,1345
130265,Citizens Mutual Telephone Cooperative (GA),50,Fiber to the Premises,3165,3747,3165,3747
130266,Citizens Telephone Cooperative (VA),10,Copper,8399,9184,8399,9184
130266,Citizens Telephone Cooperative (VA),40,Cable,3137,3313,3137,3313
130266,Citizens Telephone Cooperative (VA),50,Fiber to the Premises,10966,12199,10990,12351
130267,"Citizens Telephone Cooperative, Inc. (WI)",50,Fiber to the Premises,7844,8590,7844,8590
130268,Citizens Telephone Corporation,50,Fiber to the Premises,3465,3617,3465,3617
130268,Citizens Telephone Corporation,70,Unlicensed Fixed Wireless,1652,1668,1652,1668
130269,"Citizens Telephone Company of Hammond NY, Inc.",10,Copper,830,864,830,864
130269,"Citizens Telephone Company of Hammond NY, Inc.",50,Fiber to the Premises,7590,8511,7581,8502
130270,City of Barnesville Municipal Telephone,50,Fiber to the Premises,1113,1332,1113,1332
130271,City of Brookings Telephone Fund,10,Copper,195,2020,195,2020
130271,City of Brookings Telephone Fund,50,Fiber to the Premises,6679,9284,6679,9284
130274,City of Faith Municipal Telephone Company,50,Fiber to the Premises,212,217,79,101
130275,City of Ketchikan,10,Copper,4797,7692,4797,7692
130275,City of Ketchikan,50,Fiber to the Premises,4789,7753,4789,7753
130275,City of Ketchikan,70,Unlicensed Fixed Wireless,18,18,18,18
130279,City of Scottsburg,50,Fiber to the Premises,3375,4155,3375,4155
130279,City of Scottsburg,70,Unlicensed Fixed Wireless,8782,9915,8748,9884
130282,City of Wadsworth,40,Cable,4702,6627,4702,6627
130282,City of Wadsworth,50,Fiber to the Premises,4810,6048,4838,6176
130283,City of Windom,50,Fiber to the Premises,2222,2629,2222,2629
130285,"Clarence Telephone Company, Inc.",50,Fiber to the Premises,2417,2594,2417,2594
130287,Clarksville Mutual Telephone Company,50,Fiber to the Premises,354,355,354,355
130288,"Clay County Rural Telephone Cooperative, Inc.",50,Fiber to the Premises,32217,33786,32217,33786
130289,Clear Creek Mutual Telephone Company,10,Copper,117,123,117,123
130289,Clear Creek Mutual Telephone Company,40,Cable,3190,3459,3190,3459
130289,Clear Creek Mutual Telephone Company,50,Fiber to the Premises,296,335,296,335
130290,Clear Lake Independent Telephone Company,50,Fiber to the Premises,6986,8886,6986,8886
130291,"Clear Lake Telephone Company, Inc.",50,Fiber to the Premises,3833,4201,3979,4404
130292,"Clear Rate Communications, LLC",10,Copper,0,0,79853,133314
130292,"Clear Rate Communications, LLC",50,Fiber to the Premises,0,0,111823,198003
130302,C-M-L Telephone Cooperative Association,50,Fiber to the Premises,1808,1938,1808,1938
130303,Coast Communications Co. Inc.,40,Cable,7177,7754,7177,7754
130303,Coast Communications Co. Inc.,50,Fiber to the Premises,1,2,2,3
130305,Cochrane Cooperative Telephone Company,50,Fiber to the Premises,2942,3440,2942,3440
130307,"Coleman County Telephone Cooperative, Inc.",10,Copper,555,557,555,557
130307,"Coleman County Telephone Cooperative, Inc.",50,Fiber to the Premises,3435,3619,3435,3619
130307,"Coleman County Telephone Cooperative, Inc.",70,Unlicensed Fixed Wireless,3067,3190,3067,3190
130307,"Coleman County Telephone Cooperative, Inc.",71,Licensed Fixed Wireless,7488,7763,7488,7763
130307,"Coleman County Telephone Cooperative, Inc.",72,LBR Fixed Wireless,41,41,41,41
130309,COLI Inc.,50,Fiber to the Premises,2664,2851,2664,2851
130309,COLI Inc.,70,Unlicensed Fixed Wireless,8325,9301,8325,9301
130309,COLI Inc.,72,LBR Fixed Wireless,28181,36695,28181,36695
130310,Colo Telephone Company,50,Fiber to the Premises,1747,1937,1747,1937
130311,"Colorado Valley Telephone Cooperative, Inc.",10,Copper,2472,2656,2472,2656
130311,"Colorado Valley Telephone Cooperative, Inc.",50,Fiber to the Premises,11505,12935,11505,12935
130311,"Colorado Valley Telephone Cooperative, Inc.",70,Unlicensed Fixed Wireless,6752,7313,6752,7313
130311,"Colorado Valley Telephone Cooperative, Inc.",71,Licensed Fixed Wireless,6174,6829,6174,6829
130312,Colton Telephone Company,50,Fiber to the Premises,1064,1137,45,48
130314,Columbus Telephone Company,50,Fiber to the Premises,5737,6410,5737,6410
130315,TOTE Holdings LLC,10,Copper,300,302,300,302
