site_id,field,value,lat,lon,note,edited
site-01078bea30,lat,24.150290,24.479292,52.313949,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the centre of the two-hall block under construction (the yard between Stargate UAE Building 1 to the north and Building 2 to the south), pe…. OpenAI Stargate UAE, Abu Dhabi, Abu Dhabi, United Arab Emirates ... Jun 9, 2025 Land clearing begins for Building 1 and 2. Nov 16, 2025 Building 1 and 2 are pa… | https://epoch.ai/data/ai-data-centers/directory/openai-stargate-uae",2026-09-19T00:00:00Z
site-01078bea30,lon,54.442780,24.479292,52.313949,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the centre of the two-hall block under construction (the yard between Stargate UAE Building 1 to the north and Building 2 to the south), pe…. OpenAI Stargate UAE, Abu Dhabi, Abu Dhabi, United Arab Emirates ... Jun 9, 2025 Land clearing begins for Building 1 and 2. Nov 16, 2025 Building 1 and 2 are pa… | https://epoch.ai/data/ai-data-centers/directory/openai-stargate-uae",2026-09-19T00:00:00Z
site-01078bea30,geo_precision,exact,24.479292,52.313949,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-01078bea30,city,Al Bihouth,24.479292,52.313949,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://epoch.ai/data/ai-data-centers/directory/openai-stargate-uae",2026-09-19T00:00:00Z
site-nogeo-b4ffc8fb,lat,-37.817320,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the southern of the two large data-centre halls on the CDC Brooklyn Campus parcel (594-598 Geelong Road, north side of Geelong Road, immedi…. Southgate's first stages are under construction in Tasmania and Melbourne, with up to 150MW, representing 54,000 GB300 delivered by mid-2026. The Alliance's $4… | https://firmus.co/newsroom/southgate-expansion",2026-09-19T00:00:00Z
site-nogeo-b4ffc8fb,lon,144.844870,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the southern of the two large data-centre halls on the CDC Brooklyn Campus parcel (594-598 Geelong Road, north side of Geelong Road, immedi…. Southgate's first stages are under construction in Tasmania and Melbourne, with up to 150MW, representing 54,000 GB300 delivered by mid-2026. The Alliance's $4… | https://firmus.co/newsroom/southgate-expansion",2026-09-19T00:00:00Z
site-nogeo-b4ffc8fb,geo_precision,exact,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-nogeo-b4ffc8fb,address,"594-598 Geelong Road, Brooklyn VIC 3012",,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://firmus.co/newsroom/southgate-expansion",2026-09-19T00:00:00Z
site-nogeo-b4ffc8fb,city,Brooklyn,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://firmus.co/newsroom/southgate-expansion",2026-09-19T00:00:00Z
site-nogeo-b235fb0f,lat,41.184270,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: Building 3 (Epoch AI's numbering) — the middle of the row of four operational data halls on the east side of the campus; the whole campus f…. Embedded map data on the page: ""bounds"":[114.72708295526195, 41.18156139744451, 114.73766453843939, 41.185502220480345]; features tagged Building 1-6, Cooling … | https://epoch.ai/data/data-centers/satellite-explorer/AlibabaZhangbeiZhangjiakouHebei",2026-09-19T00:00:00Z
site-nogeo-b235fb0f,lon,114.736190,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: Building 3 (Epoch AI's numbering) — the middle of the row of four operational data halls on the east side of the campus; the whole campus f…. Embedded map data on the page: ""bounds"":[114.72708295526195, 41.18156139744451, 114.73766453843939, 41.185502220480345]; features tagged Building 1-6, Cooling … | https://epoch.ai/data/data-centers/satellite-explorer/AlibabaZhangbeiZhangjiakouHebei",2026-09-19T00:00:00Z
site-nogeo-b235fb0f,geo_precision,exact,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-nogeo-b235fb0f,city,Zhangbei,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://epoch.ai/data/data-centers/satellite-explorer/AlibabaZhangbeiZhangjiakouHebei",2026-09-19T00:00:00Z
site-nogeo-c39134aa,lat,1.188880,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: Midpoint of the two 5-storey buildings tagged name=DayOne in OpenStreetMap (ways 1499931582 at 1.18860,104.10585 and 1499931583 at 1.18916,…. The Indonesia North (Batam) region is now available. The region identifier is ap-batam-1. The region key is HSG. This region has one availability domain. (Rele… | https://docs.oracle.com/en-us/iaas/releasenotes/oci/new-region-batam.htm",2026-09-19T00:00:00Z
site-nogeo-c39134aa,lon,104.105660,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: Midpoint of the two 5-storey buildings tagged name=DayOne in OpenStreetMap (ways 1499931582 at 1.18860,104.10585 and 1499931583 at 1.18916,…. The Indonesia North (Batam) region is now available. The region identifier is ap-batam-1. The region key is HSG. This region has one availability domain. (Rele… | https://docs.oracle.com/en-us/iaas/releasenotes/oci/new-region-batam.htm",2026-09-19T00:00:00Z
site-nogeo-c39134aa,geo_precision,exact,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-nogeo-c39134aa,city,Batam,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://docs.oracle.com/en-us/iaas/releasenotes/oci/new-region-batam.htm",2026-09-19T00:00:00Z
site-nogeo-a6c3382d,lat,68.578662,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the OSM address node for Nordmoveien 301 on parcel gnr/bnr 10/742 at Skoglund, Kvanndal (west of E6, just west of Kvanndal transformer stat…. Nscale's AI data center at Kvandal in the Narvik region | https://www.nscale.com/press-releases/nordscale",2026-09-19T00:00:00Z
site-nogeo-a6c3382d,lon,17.591345,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the OSM address node for Nordmoveien 301 on parcel gnr/bnr 10/742 at Skoglund, Kvanndal (west of E6, just west of Kvanndal transformer stat…. Nscale's AI data center at Kvandal in the Narvik region | https://www.nscale.com/press-releases/nordscale",2026-09-19T00:00:00Z
site-nogeo-a6c3382d,geo_precision,exact,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-nogeo-a6c3382d,address,"Nordmoveien 301, 8530 Bjerkvik, gnr/bnr 10/742",,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://www.nscale.com/press-releases/nordscale",2026-09-19T00:00:00Z
site-nogeo-a6c3382d,city,Bjerkvik,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://www.nscale.com/press-releases/nordscale",2026-09-19T00:00:00Z
site-abc2d521ff,lat,37.934961,37.956549,-8.868964,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the built SIN01 data centre: the point is the developer's printed site coordinate and lies inside the OSM landuse polygon named ""Start Camp…. Site Coordinates: 37.934961, -8.812558 / c. 90 km south of Lisbon / 37.5 MW SIN01 | https://23712035.hs-sites.com/hubfs/SINES%20DC_1.2%20GW%20DC%20Campus_V2.pdf?hsCtaAttrib=194868835084",2026-09-19T00:00:00Z
site-abc2d521ff,lon,-8.812558,37.956549,-8.868964,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the built SIN01 data centre: the point is the developer's printed site coordinate and lies inside the OSM landuse polygon named ""Start Camp…. Site Coordinates: 37.934961, -8.812558 / c. 90 km south of Lisbon / 37.5 MW SIN01 | https://23712035.hs-sites.com/hubfs/SINES%20DC_1.2%20GW%20DC%20Campus_V2.pdf?hsCtaAttrib=194868835084",2026-09-19T00:00:00Z
site-abc2d521ff,geo_precision,exact,37.956549,-8.868964,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-abc2d521ff,city,Sines,37.956549,-8.868964,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://23712035.hs-sites.com/hubfs/SINES%20DC_1.2%20GW%20DC%20Campus_V2.pdf?hsCtaAttrib=194868835084",2026-09-19T00:00:00Z
site-65de06c201,lat,47.237710,47.234367,-119.853505,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: centroid of the OpenStreetMap landuse polygon tagged ""Microsoft MWH Data Center"" (OSM way 700001774), inside the campus west of Road R NW a…. Microsoft MWH Data Center ... 1515 Port Industrial Parkway, Quincy, WA 98848; MWH Data Center (FKA: Oxford) located at Industrial Park #5, west of Road R NW at… | https://ecology.wa.gov/getattachment/f54bc6ff-cda4-49dc-bc9e-c536025ff69a/20190524MWHTSD19AQE031.pdf",2026-09-19T00:00:00Z
site-65de06c201,lon,-119.887980,47.234367,-119.853505,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: centroid of the OpenStreetMap landuse polygon tagged ""Microsoft MWH Data Center"" (OSM way 700001774), inside the campus west of Road R NW a…. Microsoft MWH Data Center ... 1515 Port Industrial Parkway, Quincy, WA 98848; MWH Data Center (FKA: Oxford) located at Industrial Park #5, west of Road R NW at… | https://ecology.wa.gov/getattachment/f54bc6ff-cda4-49dc-bc9e-c536025ff69a/20190524MWHTSD19AQE031.pdf",2026-09-19T00:00:00Z
site-65de06c201,geo_precision,exact,47.234367,-119.853505,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-65de06c201,address,"1515 Port Industrial Way, Quincy, WA 98848",47.234367,-119.853505,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://ecology.wa.gov/getattachment/f54bc6ff-cda4-49dc-bc9e-c536025ff69a/20190524MWHTSD19AQE031.pdf",2026-09-19T00:00:00Z
site-65de06c201,city,Quincy,47.234367,-119.853505,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://ecology.wa.gov/getattachment/f54bc6ff-cda4-49dc-bc9e-c536025ff69a/20190524MWHTSD19AQE031.pdf",2026-09-19T00:00:00Z
site-nogeo-17c9d7d4,lat,32.598000,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: centroid of the OpenStreetMap landuse polygon ""Amazon Canton Data Center"" (way 1459880367, tagged industrial=data_centre, ~379 acres), whic…. One site is located on the remaining 927 acres of the megasite in the center of the county, off Mississippi Highway 22 and Nissan Parkway in Canton. | https://www.constructionequipmentguide.com/several-top-regional-contractors-are-building-10b-twin-aws-data-centers-in-mississippi/65887",2026-09-19T00:00:00Z
site-nogeo-17c9d7d4,lon,-90.091900,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: centroid of the OpenStreetMap landuse polygon ""Amazon Canton Data Center"" (way 1459880367, tagged industrial=data_centre, ~379 acres), whic…. One site is located on the remaining 927 acres of the megasite in the center of the county, off Mississippi Highway 22 and Nissan Parkway in Canton. | https://www.constructionequipmentguide.com/several-top-regional-contractors-are-building-10b-twin-aws-data-centers-in-mississippi/65887",2026-09-19T00:00:00Z
site-nogeo-17c9d7d4,geo_precision,exact,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-nogeo-17c9d7d4,city,Canton,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://www.constructionequipmentguide.com/several-top-regional-contractors-are-building-10b-twin-aws-data-centers-in-mississippi/65887",2026-09-19T00:00:00Z
site-nogeo-e8f5c171,lat,32.396797,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: The site coordinate printed on the TCEQ construction-stormwater authorization (TXR1541VR) for the ""Barber Lake Data Center Project"", 951 CR…. Site Name on Permit: BARBER LAKE DATA CENTER PROJECT Authorization Type: CONSTRUCTION ... Area Disturbed (in Acres) : 562 ... estimated project start date : 08… | https://www2.tceq.texas.gov/wq_dpa/index.cfm?fuseaction=home.permit_summary&lgl_ident_txt=TXR1541VR&lgl_id=31842178&pita_id=31842181&phys",2026-09-19T00:00:00Z
site-nogeo-e8f5c171,lon,-100.911867,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: The site coordinate printed on the TCEQ construction-stormwater authorization (TXR1541VR) for the ""Barber Lake Data Center Project"", 951 CR…. Site Name on Permit: BARBER LAKE DATA CENTER PROJECT Authorization Type: CONSTRUCTION ... Area Disturbed (in Acres) : 562 ... estimated project start date : 08… | https://www2.tceq.texas.gov/wq_dpa/index.cfm?fuseaction=home.permit_summary&lgl_ident_txt=TXR1541VR&lgl_id=31842178&pita_id=31842181&phys",2026-09-19T00:00:00Z
site-nogeo-e8f5c171,geo_precision,exact,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-nogeo-e8f5c171,address,"951 County Road 204, Colorado City, TX 79512",,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://www2.tceq.texas.gov/wq_dpa/index.cfm?fuseaction=home.permit_summary&lgl_ident_txt=TXR1541VR&lgl_id=31842178&pita_id=31842181&phys_id=31842180&princ_id=352587782022006&affil_role=2&reg_ent_id=254503022025239&permit_type_code=SWC&return_to=permit_list_by_rn&rn_number=RN112273891",2026-09-19T00:00:00Z
site-nogeo-e8f5c171,city,Colorado City,,,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://www2.tceq.texas.gov/wq_dpa/index.cfm?fuseaction=home.permit_summary&lgl_ident_txt=TXR1541VR&lgl_id=31842178&pita_id=31842181&phys_id=31842180&princ_id=352587782022006&affil_role=2&reg_ent_id=254503022025239&permit_type_code=SWC&return_to=permit_list_by_rn&rn_number=RN112273891",2026-09-19T00:00:00Z
site-7850ecd7a4,lat,41.693524,41.705687,-86.509823,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: The IDEM GSD-01 ""Geographic Coordinates"" printed in Amazon's air-permit modification application for the SBN100 north campus (31100 Edison …. Amazon Data Services, Inc. (""ADS"") obtained New Source Construction and Part 70 Operating Permit No. T141-47750-00642 ... for a data center facility at 55001 L… | https://drive.google.com/file/d/1BKiTFNUk2KDaUaiHG7fz0KlkNSBTHzbb/view?usp=sharing",2026-09-19T00:00:00Z
site-7850ecd7a4,lon,-86.461739,41.705687,-86.509823,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: The IDEM GSD-01 ""Geographic Coordinates"" printed in Amazon's air-permit modification application for the SBN100 north campus (31100 Edison …. Amazon Data Services, Inc. (""ADS"") obtained New Source Construction and Part 70 Operating Permit No. T141-47750-00642 ... for a data center facility at 55001 L… | https://drive.google.com/file/d/1BKiTFNUk2KDaUaiHG7fz0KlkNSBTHzbb/view?usp=sharing",2026-09-19T00:00:00Z
site-7850ecd7a4,geo_precision,exact,41.705687,-86.509823,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-7850ecd7a4,city,New Carlisle,41.705687,-86.509823,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://drive.google.com/file/d/1BKiTFNUk2KDaUaiHG7fz0KlkNSBTHzbb/view?usp=sharing",2026-09-19T00:00:00Z
site-f1eb145e02,lat,37.360061,37.348948,-77.438379,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the CTP-01 building (the former Capital One data centre, OSM way 550355261 tagged addr 1401 Meadowville Technology Parkway, telecom=data_ce…. 1401 Meadowville Technology Parkway in Chesterfield County outside Richmond ... Chirisa received $200 million in construction funding to build CoreWeave's 242,… | https://baxtel.com/news/chirisa-obtains-a-200-million-loan-to-outfit-a-coreweave-data-facility-in-virginia",2026-09-19T00:00:00Z
site-f1eb145e02,lon,-77.327038,37.348948,-77.438379,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: the CTP-01 building (the former Capital One data centre, OSM way 550355261 tagged addr 1401 Meadowville Technology Parkway, telecom=data_ce…. 1401 Meadowville Technology Parkway in Chesterfield County outside Richmond ... Chirisa received $200 million in construction funding to build CoreWeave's 242,… | https://baxtel.com/news/chirisa-obtains-a-200-million-loan-to-outfit-a-coreweave-data-facility-in-virginia",2026-09-19T00:00:00Z
site-f1eb145e02,geo_precision,exact,37.348948,-77.438379,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
site-f1eb145e02,city,Chester,37.348948,-77.438379,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18: https://baxtel.com/news/chirisa-obtains-a-200-million-loan-to-outfit-a-coreweave-data-facility-in-virginia",2026-09-19T00:00:00Z
site-302f6e12ab,lat,33.777260,33.76286,-100.8168,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: Mid-parcel of the Helios Phase I site (the former Argo Blockchain 160-acre parcel) at 984 County Road 112, on the south side of CR 112 abou…. RN Number: RN111537775 Name: GALAXY HELIOS I ... Street Address: 984 COUNTY ROAD 112, AFTON TX 79220 ... County: DICKENS Nearest City: AFTON ... Physical Locat… | https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=696469662022200",2026-09-19T00:00:00Z
site-302f6e12ab,lon,-100.868900,33.76286,-100.8168,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). research-identified 2026-09-18 (high), skeptic-upheld: Mid-parcel of the Helios Phase I site (the former Argo Blockchain 160-acre parcel) at 984 County Road 112, on the south side of CR 112 abou…. RN Number: RN111537775 Name: GALAXY HELIOS I ... Street Address: 984 COUNTY ROAD 112, AFTON TX 79220 ... County: DICKENS Nearest City: AFTON ... Physical Locat… | https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=696469662022200",2026-09-19T00:00:00Z
site-302f6e12ab,geo_precision,exact,33.76286,-100.8168,"vouched 2026-09-19 from data/review/campus_places.md (Tier A: exact, high confidence, skeptic-upheld). researched placement: the point is inside the campus",2026-09-19T00:00:00Z
